-----------
Timer report 0 (1802 timers)
--------------
[0] main 11.0319 100.0% 1 
   [1] DiffusionSolver::run 10.1494 92.0% 1 
      [2] DiffusionSolver::advance 9.9133 89.9% 30 
         [3] EBBackwardEuler::solveHelm 9.6615 87.6% 30 
            [4] AMRMultiGrid::solve 9.6613 87.6% 30 
               [5] AMRMultiGrid::solveNoInit 8.5274 77.3% 30 
                  [6] AMRMultiGrid::AMRVcycle 6.8309 61.9% 233 
                     [7] AMRMultiGrid::relax 1.8858 17.1% 932 
                        [8] EBAMRPoissonOp::relax 1.8853 17.1% 932 
                           [9] EBAMRPoissonOp::levelGSRB 1.8848 17.1% 2796 
                              [12] EBAMRPoissonOp::levelGSRB::Compute 1.5587 14.1% 5592 
                                 [34] FORT_DOALLREGULARGSRB 0.4678  4.2% 318744 
                                 [38] EBAMRPoissonOp::GSColorAllIrregular 0.4437  4.0% 637488 
                                    [67] applyColorStencil 0.2597  2.4% 392838 
                                       [70] EBStencil::relax 0.2442  2.2% 392838 
                                          [87] relax_loop_overvofs 0.2009  1.8% 392838 
                                          [479] relax_header 0.0179  0.2% 392838 
                                    [228] initFluxs 0.0450  0.4% 392838 
                                    [441] vofItDomLoBCS 0.0207  0.2% 785676 
                                    [484] vofItDomHiBCS 0.0177  0.2% 785676 
                                    [526] initDataStructs 0.0153  0.1% 392838 
                                 [76] EBAMRPoissonOp::levelGSRB::homogeneousCFInterp 0.2310  2.1% 5592 
                                    [77] EBAMRPoissonOp::applyCFBCs 0.2305  2.1% 5592 
                                       [78] homogeneous_cfbs 0.2298  2.1% 5592 
                                          [79] EBAMRPoissonOp::applyHomogeneousCFBCs 0.2294  2.1% 5592 
                                             [107] EBAMRPoissonOp::applyHomogeneousCFBCs2 0.1540  1.4% 1274976 
                                                [155] packed_applyHomogeneousCFBCs 0.0864  0.8% 338316 
                                                   [174] FORT_INTERPHOMO 0.0703  0.6% 338316 
                                                [1773] unpacked_applyHomogeneousCFBCs 0.0000  0.0% 0 
                                       [1771] inhomogeneous_cfbcs_define 0.0000  0.0% 0 
                                       [1772] inhomogeneous_cfbcs_execute 0.0000  0.0% 0 
                                 [99] exchange 0.1710  1.5% 2796 
                                    [100] local copying 0.1707  1.5% 2796 
                                       [116] BaseEBCellFAB::copy 0.1405  1.3% 631896 
                                          [169] BaseEBCellFAB::regcopy 0.0738  0.7% 631896 
                              [95] exchange 0.1859  1.7% 2796 
                                 [96] local copying 0.1856  1.7% 2796 
                                    [113] BaseEBCellFAB::copy 0.1467  1.3% 631896 
                                       [163] BaseEBCellFAB::regcopy 0.0761  0.7% 631896 
                              [134] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.1113  1.0% 159372 
                                 [137] EBAMRPoissonOp::applyDomainFlux 0.1042  0.9% 159372 
                                    [204] EBArith::loHi 0.0551  0.5% 318744 
                                    [502] FORT_REGAPPLYDOMAINFLUX_INPLACE 0.0165  0.1% 67104 
                                    [1032] NeumannPoissonDomainBC::getFaceFlux 0.0020  0.0% 67104 
                     [10] Multigrid::oneCycle 1.7974 16.3% 233 
                        [11] Multigrid::cycle 1.7974 16.3% 233 
                           [14] Multigrid::cycle 1.2889 11.7% 233 
                              [20] Multigrid::cycle 0.9285  8.4% 233 
                                 [29] Multigrid::cycle 0.6426  5.8% 233 
                                    [45] Multigrid::cycle 0.3927  3.6% 233 
                                       [88] EBAMRPoissonOp::relax 0.1998  1.8% 466 
                                          [89] EBAMRPoissonOp::levelGSRB 0.1996  1.8% 1398 
                                             [124] EBAMRPoissonOp::levelGSRB::Compute 0.1260  1.1% 2796 
                                                [216] EBAMRPoissonOp::GSColorAllIrregular 0.0494  0.4% 89472 
                                                   [561] initFluxs 0.0140  0.1% 46134 
                                                   [590] applyColorStencil 0.0121  0.1% 46134 
                                                      [645] EBStencil::relax 0.0101  0.1% 46134 
                                                         [799] relax_loop_overvofs 0.0048  0.0% 46134 
                                                         [982] relax_header 0.0023  0.0% 46134 
                                                   [774] vofItDomHiBCS 0.0057  0.1% 92268 
                                                   [791] vofItDomLoBCS 0.0051  0.0% 92268 
                                                   [1142] initDataStructs 0.0011  0.0% 46134 
                                                [219] exchange 0.0471  0.4% 1398 
                                                   [220] local copying 0.0470  0.4% 1398 
                                                      [235] BaseEBCellFAB::copy 0.0432  0.4% 100656 
                                                         [417] BaseEBCellFAB::irrcopy 0.0222  0.2% 27960 
                                                         [664] BaseEBCellFAB::regcopy 0.0094  0.1% 100656 
                                                [933] FORT_DOALLREGULARGSRB 0.0029  0.0% 44736 
                                             [213] exchange 0.0503  0.5% 1398 
                                                [215] local copying 0.0502  0.5% 1398 
                                                   [226] BaseEBCellFAB::copy 0.0455  0.4% 100656 
                                                      [385] BaseEBCellFAB::irrcopy 0.0237  0.2% 27960 
                                                         [837] VoFIterator::define 0.0042  0.0% 16776 
                                                      [658] BaseEBCellFAB::regcopy 0.0095  0.1% 100656 
                                             [470] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.0188  0.2% 22368 
                                                [481] EBAMRPoissonOp::applyDomainFlux 0.0178  0.2% 22368 
                                                   [681] EBArith::loHi 0.0090  0.1% 44736 
                                                   [1111] FORT_REGAPPLYDOMAINFLUX_INPLACE 0.0013  0.0% 27960 
                                                   [1210] NeumannPoissonDomainBC::getFaceFlux 0.0007  0.0% 27960 
                                       [160] EBAMRPoissonOp::restrictResidual 0.0802  0.7% 233 
                                          [336] EBAMRPoissonOp::residual 0.0279  0.3% 233 
                                             [367] EBAMRPoissonOp::applyOp 0.0247  0.2% 233 
                                                [543] EBAMRPoissonOp::applyOpNoCFBCs 0.0145  0.1% 233 
                                                   [832] regular_apply 0.0043  0.0% 3728 
                                                      [845] EBAMRPoissonOp::applyOpRegularAllDirs 0.0041  0.0% 3728 
                                                         [883] EBAMRPoissonOp::applyDomainFlux 0.0035  0.0% 3728 
                                                         [1382] FORT_REGGET1DLAPLACIAN_INPLACE 0.0002  0.0% 3728 
                                                   [915] alpha_apply 0.0031  0.0% 3728 
                                                      [1000] BaseEBCellFAB::copy 0.0022  0.0% 3728 
                                                         [1038] overlap_copy 0.0019  0.0% 3728 
                                                         [1787] sameregion_copy 0.0000  0.0% 0 
                                                      [1429] FORT_MULTIPLYFABR 0.0002  0.0% 3728 
                                                   [934] dom_bcs_apply 0.0029  0.0% 3728 
                                                   [943] irregular_apply 0.0027  0.0% 3728 
                                                      [969] EBStencil::apply_alpha_beta 0.0024  0.0% 3728 
                                                         [1098] apply_alpha_beta_loop_overvofs 0.0014  0.0% 3728 
                                                         [1306] apply_alpha_beta_header 0.0004  0.0% 3728 
                                                   [1506] eb_bcs_apply 0.0001  0.0% 3728 
                                                [644] exchange+copier 0.0102  0.1% 233 
                                                   [674] exchange 0.0091  0.1% 233 
                                                      [678] local copying 0.0090  0.1% 233 
                                                         [705] BaseEBCellFAB::copy 0.0076  0.1% 16776 
                                                   [1148] Copier::define 0.0010  0.0% 30 
                                                [1786] coarse-fine_bcs 0.0000  0.0% 0 
                                             [1356] FORT_AXBYFAB 0.0003  0.0% 3728 
                                          [448] LevelData<T>::define(dbl,comps,ghost,factory) 0.0201  0.2% 233 
                                             [1353] VoFIterator::define 0.0003  0.0% 233 
                                          [864] ~LayoutData 0.0038  0.0% 932 
                                          [961] EBMGAverage::average 0.0025  0.0% 3728 
                                             [1064] irregular_average 0.0016  0.0% 3728 
                                                [1082] EBStencil::apply 0.0015  0.0% 3728 
                                                   [1257] apply_loop_overvofs 0.0005  0.0% 3728 
                                                   [1315] apply_header 0.0004  0.0% 3728 
                                             [1305] regular_average 0.0004  0.0% 3728 
                                                [1379] FORT_REGAVERAGE 0.0002  0.0% 3728 
                                          [977] copyTo 0.0024  0.0% 233 
                                             [979] local copying 0.0023  0.0% 233 
                                                [1033] BaseEBCellFAB::copy 0.0020  0.0% 3728 
                                                   [1176] BaseEBCellFAB::irrcopy 0.0009  0.0% 3728 
                                                      [1342] VoFIterator::define 0.0003  0.0% 233 
                                                   [1298] BaseEBCellFAB::regcopy 0.0004  0.0% 3728 
                                          [1386] VoFIterator::define 0.0002  0.0% 233 
                                          [1480] ~Copier 0.0001  0.0% 466 
                                          [1539] EBISLayoutImplem::~EBISLayoutImplem 0.0000  0.0% 466 
                                          [1568] ~BoxLayoutData 0.0000  0.0% 466 
                                          [1615] ~LevelData 0.0000  0.0% 466 
                                       [165] Multigrid::cycle 0.0749  0.7% 233 
                                          [191] BiCGStabSolver::solve 0.0607  0.6% 233 
                                             [314] BiCGStabSolver::solve::Initialize 0.0313  0.3% 233 
                                                [536] LevelData<T>::define(dbl,comps,ghost,factory) 0.0151  0.1% 1864 
                                                   [1085] VoFIterator::define 0.0015  0.0% 1864 
                                                [806] EBAMRPoissonOp::residual 0.0046  0.0% 233 
                                                   [860] EBAMRPoissonOp::applyOp 0.0038  0.0% 233 
                                                      [881] EBAMRPoissonOp::applyOpNoCFBCs 0.0035  0.0% 233 
                                                         [1092] dom_bcs_apply 0.0015  0.0% 233 
                                                         [1185] regular_apply 0.0008  0.0% 233 
                                                         [1252] irregular_apply 0.0006  0.0% 233 
                                                         [1274] alpha_apply 0.0005  0.0% 233 
                                                         [1627] eb_bcs_apply 0.0000  0.0% 233 
                                                      [1393] exchange+copier 0.0002  0.0% 233 
                                                         [1464] exchange 0.0001  0.0% 233 
                                                         [1484] Copier::define 0.0001  0.0% 30 
                                                      [1788] coarse-fine_bcs 0.0000  0.0% 0 
                                                   [1488] FORT_AXBYFAB 0.0001  0.0% 233 
                                                [1173] EBAMRPoissonOp::norm 0.0009  0.0% 233 
                                                   [1192] EBAMRPoissonOp::localMaxNorm 0.0008  0.0% 233 
                                                      [1433] VoFIterator::define 0.0002  0.0% 233 
                                                      [1440] FORT_MAXNORMMASK 0.0001  0.0% 233 
                                                   [1673] mpi_allreduce 0.0000  0.0% 233 
                                                [1189] EBLevelDataOps::assign(to,from) 0.0008  0.0% 233 
                                                   [1224] BaseEBCellFAB::copy 0.0006  0.0% 233 
                                                      [1292] BaseEBCellFAB::irrcopy 0.0004  0.0% 233 
                                                         [1425] VoFIterator::define 0.0002  0.0% 233 
                                                      [1494] BaseEBCellFAB::regcopy 0.0001  0.0% 233 
                                                [1438] ~LayoutData 0.0001  0.0% 1864 
                                                [1486] EBISLayoutImplem::~EBISLayoutImplem 0.0001  0.0% 1864 
                                             [351] BiCGStabSolver::solve::MainLoop 0.0259  0.2% 233 
                                                [491] EBAMRPoissonOp::preCond 0.0173  0.2% 233 
                                                   [546] EBAMRPoissonOp::relax 0.0144  0.1% 233 
                                                      [551] EBAMRPoissonOp::levelGSRB 0.0143  0.1% 932 
                                                         [596] EBAMRPoissonOp::levelGSRB::Compute 0.0118  0.1% 1864 
                                                         [1034] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.0020  0.0% 932 
                                                         [1485] exchange 0.0001  0.0% 932 
                                                   [1048] EBLevelDataOps::assign(to,from) 0.0018  0.0% 233 
                                                      [1217] Copier::define 0.0006  0.0% 233 
                                                      [1243] copyTo 0.0006  0.0% 233 
                                                         [1251] local copying 0.0006  0.0% 233 
                                                      [1560] ~Copier 0.0000  0.0% 233 
                                                   [1534] FORT_MULTIPLYFABR 0.0000  0.0% 233 
                                                [897] EBAMRPoissonOp::applyOp 0.0033  0.0% 233 
                                                   [944] EBAMRPoissonOp::applyOpNoCFBCs 0.0027  0.0% 233 
                                                      [1125] dom_bcs_apply 0.0012  0.0% 233 
                                                      [1221] regular_apply 0.0006  0.0% 233 
                                                         [1228] EBAMRPoissonOp::applyOpRegularAllDirs 0.0006  0.0% 233 
                                                      [1296] alpha_apply 0.0004  0.0% 233 
                                                         [1456] BaseEBCellFAB::copy 0.0001  0.0% 233 
                                                         [1573] FORT_MULTIPLYFABR 0.0000  0.0% 233 
                                                      [1346] irregular_apply 0.0003  0.0% 233 
                                                         [1366] EBStencil::apply_alpha_beta 0.0003  0.0% 233 
                                                      [1645] eb_bcs_apply 0.0000  0.0% 233 
                                                   [1269] exchange+copier 0.0005  0.0% 233 
                                                      [1317] Copier::define 0.0004  0.0% 233 
                                                      [1572] exchange 0.0000  0.0% 233 
                                                         [1622] local copying 0.0000  0.0% 233 
                                                   [1790] coarse-fine_bcs 0.0000  0.0% 0 
                                                [939] EBLevelDataOps::kappaDotProduct 0.0028  0.0% 466 
                                                [1244] EBLevelDataOps::assign(to,from) 0.0006  0.0% 233 
                                                   [1264] BaseEBCellFAB::copy 0.0005  0.0% 233 
                                                      [1311] BaseEBCellFAB::irrcopy 0.0004  0.0% 233 
                                                         [1412] VoFIterator::define 0.0002  0.0% 233 
                                                      [1501] BaseEBCellFAB::regcopy 0.0001  0.0% 233 
                                                [1254] EBAMRPoissonOp::norm 0.0006  0.0% 233 
                                                   [1266] EBAMRPoissonOp::localMaxNorm 0.0005  0.0% 233 
                                                      [1409] VoFIterator::define 0.0002  0.0% 233 
                                                      [1505] FORT_MAXNORMMASK 0.0001  0.0% 233 
                                                   [1602] mpi_allreduce 0.0000  0.0% 233 
                                                [1482] FORT_SCALEADDTWOFAB 0.0001  0.0% 466 
                                             [1119] ~LayoutData 0.0013  0.0% 1864 
                                             [1320] BiCGStabSolver::solve::Cleanup 0.0004  0.0% 233 
                                                [1559] FORT_SCALEADDTWOFAB 0.0000  0.0% 233 
                                             [1454] ~Copier 0.0001  0.0% 1864 
                                             [1561] ~LevelData 0.0000  0.0% 1864 
                                             [1581] ~BoxLayoutData 0.0000  0.0% 1864 
                                          [557] EBAMRPoissonOp::relax 0.0141  0.1% 233 
                                             [559] EBAMRPoissonOp::levelGSRB 0.0140  0.1% 699 
                                                [595] EBAMRPoissonOp::levelGSRB::Compute 0.0119  0.1% 1398 
                                                   [650] EBAMRPoissonOp::GSColorAllIrregular 0.0099  0.1% 2796 
                                                      [808] initFluxs 0.0046  0.0% 2796 
                                                      [1056] applyColorStencil 0.0017  0.0% 2796 
                                                         [1077] EBStencil::relax 0.0015  0.0% 2796 
                                                      [1069] vofItDomLoBCS 0.0016  0.0% 5592 
                                                      [1123] vofItDomHiBCS 0.0012  0.0% 5592 
                                                      [1406] initDataStructs 0.0002  0.0% 2796 
                                                   [1367] FORT_DOALLREGULARGSRB 0.0003  0.0% 1398 
                                                   [1481] exchange 0.0001  0.0% 699 
                                                      [1554] local copying 0.0000  0.0% 699 
                                                [1059] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.0017  0.0% 699 
                                                   [1072] EBAMRPoissonOp::applyDomainFlux 0.0016  0.0% 699 
                                                      [1280] EBArith::loHi 0.0005  0.0% 1398 
                                                      [1350] FORT_REGAPPLYDOMAINFLUX_INPLACE 0.0003  0.0% 2796 
                                                      [1459] NeumannPoissonDomainBC::getFaceFlux 0.0001  0.0% 2796 
                                                [1466] exchange 0.0001  0.0% 699 
                                                   [1535] local copying 0.0000  0.0% 699 
                                       [259] EBAMRPoissonOp::prolongIncrement 0.0373  0.3% 233 
                                          [261] EBMGInterp::pwcInterp 0.0372  0.3% 233 
                                             [263] EBMGInterp::pwcInterp::coarsenable 0.0372  0.3% 233 
                                                [850] copyTo 0.0040  0.0% 233 
                                                   [852] local copying 0.0039  0.0% 233 
                                                      [869] BaseEBCellFAB::copy 0.0037  0.0% 3728 
                                                         [946] BaseEBCellFAB::irrcopy 0.0027  0.0% 1398 
                                                         [1283] BaseEBCellFAB::regcopy 0.0005  0.0% 3728 
                                                [886] EBMGInterp::interp 0.0035  0.0% 3728 
                                                   [1113] irregular_interp 0.0013  0.0% 3728 
                                                      [1132] EBStencil::apply 0.0011  0.0% 3728 
                                                         [1239] apply_loop_overvofs 0.0006  0.0% 3728 
                                                         [1414] apply_header 0.0002  0.0% 3728 
                                                   [1291] regular_interp 0.0004  0.0% 3728 
                                                      [1368] FORT_REGPROLONG 0.0003  0.0% 3728 
                                                [1027] ~LayoutData 0.0020  0.0% 466 
                                                [1071] Copier::define 0.0016  0.0% 233 
                                                [1153] VoFIterator::define 0.0010  0.0% 1398 
                                                [1510] ~Copier 0.0001  0.0% 466 
                                                [1542] EBISLayoutImplem::~EBISLayoutImplem 0.0000  0.0% 233 
                                                [1577] ~BoxLayoutData 0.0000  0.0% 233 
                                                [1586] ~LevelData 0.0000  0.0% 233 
                                    [93] EBAMRPoissonOp::relax 0.1877  1.7% 466 
                                       [94] EBAMRPoissonOp::levelGSRB 0.1875  1.7% 1398 
                                          [123] EBAMRPoissonOp::levelGSRB::Compute 0.1263  1.1% 2796 
                                             [193] EBAMRPoissonOp::GSColorAllIrregular 0.0601  0.5% 89472 
                                                [482] applyColorStencil 0.0178  0.2% 61512 
                                                   [525] EBStencil::relax 0.0154  0.1% 61512 
                                                      [691] relax_loop_overvofs 0.0085  0.1% 61512 
                                                      [936] relax_header 0.0029  0.0% 61512 
                                                [528] initFluxs 0.0153  0.1% 61512 
                                                [721] vofItDomHiBCS 0.0071  0.1% 123024 
                                                [788] vofItDomLoBCS 0.0052  0.0% 123024 
                                                [1026] initDataStructs 0.0020  0.0% 61512 
                                             [292] exchange 0.0338  0.3% 1398 
                                                [293] local copying 0.0336  0.3% 1398 
                                                   [326] BaseEBCellFAB::copy 0.0296  0.3% 100656 
                                                      [655] BaseEBCellFAB::regcopy 0.0096  0.1% 100656 
                                                      [728] BaseEBCellFAB::irrcopy 0.0069  0.1% 13980 
                                                         [1110] VoFIterator::define 0.0013  0.0% 2796 
                                             [779] FORT_DOALLREGULARGSRB 0.0056  0.1% 44736 
                                          [258] exchange 0.0373  0.3% 1398 
                                             [260] local copying 0.0372  0.3% 1398 
                                                [301] BaseEBCellFAB::copy 0.0324  0.3% 100656 
                                                   [637] BaseEBCellFAB::regcopy 0.0104  0.1% 100656 
                                                   [694] BaseEBCellFAB::irrcopy 0.0083  0.1% 13980 
                                                      [1050] VoFIterator::define 0.0017  0.0% 2796 
                                          [459] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.0193  0.2% 22368 
                                             [475] EBAMRPoissonOp::applyDomainFlux 0.0183  0.2% 22368 
                                                [683] EBArith::loHi 0.0090  0.1% 44736 
                                                [1049] FORT_REGAPPLYDOMAINFLUX_INPLACE 0.0018  0.0% 27960 
                                                [1211] NeumannPoissonDomainBC::getFaceFlux 0.0007  0.0% 27960 
                                    [199] EBAMRPoissonOp::restrictResidual 0.0568  0.5% 233 
