-----------
Timer report 0 (1689 timers)
--------------
[0] main 111.6508 100.0% 1 
   [1] DiffusionSolver::run 111.2384 99.6% 1 
      [2] DiffusionSolver::advance 110.7290 99.2% 150 
         [3] EBBackwardEuler::solveHelm 110.1694 98.7% 150 
            [4] AMRMultiGrid::solve 110.1685 98.7% 150 
               [5] AMRMultiGrid::solveNoInit 107.0264 95.9% 150 
                  [6] AMRMultiGrid::AMRVcycle 63.6280 57.0% 2263 
                     [12] AMRMultiGrid<T>::computeAMRResidualLevel 36.8091 33.0% 4526 
                        [13] EBAMRPoissonOp::AMRResidual 36.7946 33.0% 4526 
                           [14] AMROperator 36.6887 32.9% 4526 
                              [15] EBAMRPoissonOp::AMROperator 36.6871 32.9% 4526 
                                 [16] reflux 35.6680 31.9% 4526 
                                    [17] EBAMRPoissonOp::reflux 35.6667 31.9% 4526 
                                       [18] EBAMRPoissonOp::fastReflux 35.6659 31.9% 4526 
                                          [22] incrementCoar 18.4500 16.5% 4526 
                                             [23] EBAMRPoissonOp::incrementFRCoar 18.4494 16.5% 4526 
                                                [26] EBAMRPoissonOp::getFlux 17.4895 15.7% 85994 
                                                   [32] EBArith::interpolateFluxToCentroids 10.9230  9.8% 76942 
                                                   [336] FORT_REGGETFLUX 0.1017  0.1% 85994 
                                                [207] EBFastFR::incrementCoarseBoth 0.2238  0.2% 171988 
                                                   [212] LevelFluxRegister::incrementCoarse 0.2134  0.2% 171988 
                                                [984] EBFastFR::incrementCoarseIrreg 0.0029  0.0% 171988 
                                          [30] incrementFine 17.0162 15.2% 4526 
                                             [31] EBAMRPoissonOp::incrementFRFine 17.0153 15.2% 4526 
                                                [38] EBAMRPoissonOp::getFlux 10.0593  9.0% 733212 
                                                   [42] EBArith::interpolateFluxToCentroids 4.1400  3.7% 418655 
                                                   [304] FORT_REGGETFLUX 0.1170  0.1% 733212 
                                                [80] QuadCFInterp::coarseFineInterp 1.5378  1.4% 4526 
                                                   [87] QuadCFInterp::coarseFineInterp(BaseFab<Real> & a_phif,...) 1.4501  1.3% 733212 
                                                      [103] QuadCFInterp::getPhiStar 1.1480  1.0% 502386 
                                                         [135] QuadCFInterp::slopes 0.6633  0.6% 502386 
                                                         [179] QuadCFInterp::notPacked 0.3391  0.3% 502386 
                                                         [410] QuadCFInterp::preamble 0.0753  0.1% 502386 
                                                      [205] QuadCFInterp::interpOnIVS 0.2249  0.2% 502386 
                                                         [469] FORT_QUADINTERP 0.0535  0.0% 348502 
                                                   [457] copyTo 0.0566  0.1% 4526 
                                                      [459] local copying 0.0561  0.1% 4526 
                                                [117] EBFastFR::incrementFineBoth 0.8506  0.8% 733212 
                                                   [124] EBFastFR::incrementFineRegul 0.7546  0.7% 733212 
                                                      [141] LevelFluxRegister::incrementFine 0.6452  0.6% 733212 
                                                         [291] FORT_INCREMENTFINE 0.1210  0.1% 733212 
                                                      [594] EBFastFR::incrementFineSparse 0.0245  0.0% 733212 
                                                   [515] EBFastFR::incrementFineIrreg 0.0394  0.0% 733212 
                                                      [715] EBFastFR::incrementFineSparse 0.0134  0.0% 733212 
                                                [191] exchange+copier 0.2738  0.2% 9052 
                                                   [195] exchange 0.2558  0.2% 9052 
                                                      [196] local copying 0.2550  0.2% 9052 
                                                         [222] BaseEBCellFAB::copy 0.1997  0.2% 914252 
                                                   [663] Copier::define 0.0170  0.0% 150 
                                                [321] exchange 0.1072  0.1% 4526 
                                                   [322] local copying 0.1070  0.1% 4526 
                                                      [377] BaseEBCellFAB::copy 0.0870  0.1% 443548 
                                                         [518] BaseEBCellFAB::regcopy 0.0393  0.0% 443548 
                                                [507] LevelData<T>::define(dbl,comps,ghost,factory) 0.0421  0.0% 9052 
                                                [639] ~LayoutData 0.0190  0.0% 18104 
                                                [1090] ~Copier 0.0016  0.0% 9052 
                                                [1378] ~BoxLayoutData 0.0002  0.0% 9052 
                                                [1409] ~LevelData 0.0001  0.0% 9052 
                                          [250] reflux_from_reg 0.1595  0.1% 4526 
                                             [251] EBFastFR::reflux 0.1590  0.1% 4526 
                                                [328] LevelFluxRegister::reflux 0.1059  0.1% 4526 
                                                   [503] copyTo 0.0426  0.0% 4526 
                                                      [506] local copying 0.0423  0.0% 4526 
                                                [734] LevelData<T>::define(dbl,comps,ghost,factory) 0.0126  0.0% 4526 
                                                [937] ~LayoutData 0.0041  0.0% 9052 
                                                [1126] ~Copier 0.0013  0.0% 4526 
                                                [1374] ~BoxLayoutData 0.0002  0.0% 4526 
                                                [1480] ~LevelData 0.0000  0.0% 4526 
                                          [525] setToZero 0.0378  0.0% 4526 
                                             [527] EBFastFR::setToZero 0.0373  0.0% 4526 
                                                [529] LevelFluxRegister::setToZero 0.0364  0.0% 4526 
                                          [1196] define 0.0008  0.0% 4526 
                                 [109] applyOp 1.0179  0.9% 4526 
                                    [110] EBAMRPoissonOp::applyOp 1.0159  0.9% 4526 
                                       [142] coarse-fine_bcs 0.6241  0.6% 2263 
                                          [143] EBAMRPoissonOp::applyCFBCs 0.6239  0.6% 2263 
                                             [144] inhomogeneous_cfbcs_execute 0.6234  0.6% 2263 
                                                [157] QuadCFInterp::coarseFineInterp 0.4835  0.4% 2263 
                                                   [159] QuadCFInterp::coarseFineInterp(BaseFab<Real> & a_phif,...) 0.4570  0.4% 162936 
                                                      [172] QuadCFInterp::getPhiStar 0.3594  0.3% 113150 
                                                         [213] QuadCFInterp::slopes 0.2106  0.2% 113150 
                                                         [313] QuadCFInterp::notPacked 0.1097  0.1% 113150 
                                                         [618] QuadCFInterp::preamble 0.0217  0.0% 113150 
                                                      [404] QuadCFInterp::interpOnIVS 0.0778  0.1% 113150 
                                                         [643] FORT_QUADINTERP 0.0187  0.0% 63364 
                                                   [641] copyTo 0.0187  0.0% 2263 
                                                      [647] local copying 0.0185  0.0% 2263 
                                                [489] exchange+copier 0.0458  0.0% 2263 
                                                   [508] exchange 0.0411  0.0% 2263 
                                                      [511] local copying 0.0408  0.0% 2263 
                                                         [568] BaseEBCellFAB::copy 0.0304  0.0% 126728 
                                                   [924] Copier::define 0.0043  0.0% 150 
                                                [628] exchange 0.0200  0.0% 2263 
                                                   [629] local copying 0.0199  0.0% 2263 
                                                      [672] BaseEBCellFAB::copy 0.0160  0.0% 81468 
                                                         [831] BaseEBCellFAB::regcopy 0.0073  0.0% 81468 
                                                [758] LevelData<T>::define(dbl,comps,ghost,factory) 0.0106  0.0% 4526 
                                                [939] ~LayoutData 0.0041  0.0% 9052 
                                                [1199] ~Copier 0.0008  0.0% 4526 
                                                [1445] ~BoxLayoutData 0.0001  0.0% 4526 
                                                [1449] ~LevelData 0.0001  0.0% 4526 
                                             [1472] inhomogeneous_cfbcs_define 0.0001  0.0% 2263 
                                             [1664] homogeneous_cfbs 0.0000  0.0% 0 
                                       [174] EBAMRPoissonOp::applyOpNoCFBCs 0.3549  0.3% 4526 
                                          [260] regular_apply 0.1467  0.1% 42997 
                                             [264] EBAMRPoissonOp::applyOpRegularAllDirs 0.1442  0.1% 42997 
                                                [319] FORT_REGGET1DLAPLACIAN_INPLACE 0.1075  0.1% 42997 
                                                [556] EBAMRPoissonOp::applyDomainFlux 0.0327  0.0% 42997 
                                                   [676] EBArith::loHi 0.0156  0.0% 85994 
                                                   [904] FORT_REGAPPLYDOMAINFLUX_INPLACE 0.0048  0.0% 9052 
                                                   [1130] NeumannPoissonDomainBC::getFaceFlux 0.0013  0.0% 9052 
                                          [352] alpha_apply 0.0951  0.1% 42997 
                                             [467] BaseEBCellFAB::copy 0.0550  0.0% 42997 
                                                [563] overlap_copy 0.0313  0.0% 40734 
                                                   [580] BaseEBCellFAB::copy 0.0284  0.0% 40734 
                                                      [610] BaseEBCellFAB::regcopy 0.0231  0.0% 40734 
                                                [625] sameregion_copy 0.0211  0.0% 2263 
                                             [581] FORT_MULTIPLYFABR 0.0280  0.0% 42997 
                                          [375] irregular_apply 0.0872  0.1% 42997 
                                             [391] EBStencil::apply_alpha_beta 0.0838  0.1% 42997 
                                                [407] apply_alpha_beta_loop_overvofs 0.0756  0.1% 42997 
                                                [970] apply_alpha_beta_header 0.0033  0.0% 42997 
                                          [764] dom_bcs_apply 0.0102  0.0% 42997 
                                          [1211] eb_bcs_apply 0.0007  0.0% 42997 
                                       [538] exchange+copier 0.0351  0.0% 4526 
                                          [542] exchange 0.0341  0.0% 4526 
                                             [549] local copying 0.0334  0.0% 4526 
                                                [585] BaseEBCellFAB::copy 0.0279  0.0% 126728 
                                                   [694] BaseEBCellFAB::regcopy 0.0145  0.0% 126728 
                                          [1300] Copier::define 0.0004  0.0% 150 
                           [329] axby 0.1046  0.1% 4526 
                              [433] FORT_AXBYFAB 0.0656  0.1% 42997 
                        [1279] ~LayoutData 0.0004  0.0% 2263 
                        [1371] ~Copier 0.0002  0.0% 2263 
                        [1404] ~BoxLayoutData 0.0001  0.0% 2263 
                        [1406] ~LevelData 0.0001  0.0% 2263 
                     [34] AMRMultiGrid::relax 10.8327  9.7% 9052 
                        [35] EBAMRPoissonOp::relax 10.8292  9.7% 9052 
                           [36] EBAMRPoissonOp::levelGSRB 10.8246  9.7% 27156 
                              [39] EBAMRPoissonOp::levelGSRB::Compute 9.3876  8.4% 54312 
                                 [44] EBAMRPoissonOp::GSColorAllIrregular 3.6851  3.3% 4399272 
                                    [68] applyColorStencil 2.0102  1.8% 4195602 
                                       [74] EBStencil::relax 1.8430  1.7% 4195602 
                                          [92] relax_loop_overvofs 1.4159  1.3% 4195602 
                                          [238] relax_header 0.1793  0.2% 4195602 
                                    [170] initFluxs 0.4092  0.4% 4195602 
                                    [206] vofItDomLoBCS 0.2241  0.2% 8391204 
                                    [232] vofItDomHiBCS 0.1888  0.2% 8391204 
                                    [269] initDataStructs 0.1410  0.1% 4195602 
                                 [69] EBAMRPoissonOp::levelGSRB::homogeneousCFInterp 2.0053  1.8% 54312 
                                    [70] EBAMRPoissonOp::applyCFBCs 2.0022  1.8% 54312 
                                       [71] homogeneous_cfbs 1.9960  1.8% 54312 
                                          [72] EBAMRPoissonOp::applyHomogeneousCFBCs 1.9926  1.8% 54312 
                                             [79] EBAMRPoissonOp::applyHomogeneousCFBCs2 1.5500  1.4% 8798544 
                                                [107] packed_applyHomogeneousCFBCs 1.0647  1.0% 6028632 
                                                   [126] FORT_INTERPHOMO 0.7435  0.7% 6028632 
                                                [1663] unpacked_applyHomogeneousCFBCs 0.0000  0.0% 0 
                                       [1661] inhomogeneous_cfbcs_define 0.0000  0.0% 0 
                                       [1662] inhomogeneous_cfbcs_execute 0.0000  0.0% 0 
                                 [91] FORT_DOALLREGULARGSRB 1.4238  1.3% 2199636 
                                 [130] exchange 0.6871  0.6% 27156 
                                    [131] local copying 0.6850  0.6% 27156 
                                       [149] BaseEBCellFAB::copy 0.5774  0.5% 2742756 
                                          [188] BaseEBCellFAB::regcopy 0.2938  0.3% 2742756 
                              [127] exchange 0.7371  0.7% 27156 
                                 [128] local copying 0.7349  0.7% 27156 
                                    [145] BaseEBCellFAB::copy 0.6025  0.5% 2742756 
                                       [186] BaseEBCellFAB::regcopy 0.3012  0.3% 2742756 
                              [156] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.5023  0.4% 1099818 
                                 [160] EBAMRPoissonOp::applyDomainFlux 0.4550  0.4% 1099818 
                                    [173] EBArith::loHi 0.3552  0.3% 2199636 
                     [40] EBAMRPoissonOp::AMRRestrict 5.6879  5.1% 4526 
                        [48] EBAMRPoissonOp::applyOp 2.8995  2.6% 4526 
                           [62] coarse-fine_bcs 2.1022  1.9% 4526 
                              [63] EBAMRPoissonOp::applyCFBCs 2.1014  1.9% 4526 
                                 [64] inhomogeneous_cfbcs_execute 2.1002  1.9% 4526 
                                    [82] QuadCFInterp::coarseFineInterp 1.5196  1.4% 4526 
                                       [89] QuadCFInterp::coarseFineInterp(BaseFab<Real> & a_phif,...) 1.4319  1.3% 733212 
                                          [106] QuadCFInterp::getPhiStar 1.1348  1.0% 502386 
                                             [139] QuadCFInterp::slopes 0.6523  0.6% 502386 
                                             [181] QuadCFInterp::notPacked 0.3382  0.3% 502386 
