-----------
Timer report 0 (1569 timers)
--------------
[0] main 44.8864 100.0% 1 
   [1] DiffusionSolver::run 44.4793 99.1% 1 
      [2] DiffusionSolver::advance 44.0272 98.1% 150 
         [3] EBBackwardEuler::solveHelm 43.4839 96.9% 150 
            [4] AMRMultiGrid::solve 43.4831 96.9% 150 
               [5] AMRMultiGrid::solveNoInit 40.3094 89.8% 150 
                  [6] AMRMultiGrid::AMRVcycle 31.4363 70.0% 2265 
                     [7] AMRMultiGrid::relax 10.9519 24.4% 9060 
                        [8] EBAMRPoissonOp::relax 10.9482 24.4% 9060 
                           [9] EBAMRPoissonOp::levelGSRB 10.9436 24.4% 27180 
                              [10] EBAMRPoissonOp::levelGSRB::Compute 9.4805 21.1% 54360 
                                 [22] EBAMRPoissonOp::GSColorAllIrregular 3.6855  8.2% 4403160 
                                    [47] applyColorStencil 1.9954  4.4% 4199310 
                                       [50] EBStencil::relax 1.8293  4.1% 4199310 
                                          [67] relax_loop_overvofs 1.4058  3.1% 4199310 
                                          [208] relax_header 0.1774  0.4% 4199310 
                                    [135] initFluxs 0.4078  0.9% 4199310 
                                    [175] vofItDomLoBCS 0.2262  0.5% 8398620 
                                    [189] vofItDomHiBCS 0.1980  0.4% 8398620 
                                    [230] initDataStructs 0.1460  0.3% 4199310 
                                 [43] EBAMRPoissonOp::levelGSRB::homogeneousCFInterp 2.0431  4.6% 54360 
                                    [44] EBAMRPoissonOp::applyCFBCs 2.0391  4.5% 54360 
                                       [45] homogeneous_cfbs 2.0314  4.5% 54360 
                                          [46] EBAMRPoissonOp::applyHomogeneousCFBCs 2.0273  4.5% 54360 
                                             [57] EBAMRPoissonOp::applyHomogeneousCFBCs2 1.5787  3.5% 8806320 
                                                [77] packed_applyHomogeneousCFBCs 1.0763  2.4% 6033960 
                                                   [92] FORT_INTERPHOMO 0.7531  1.7% 6033960 
                                                [1543] unpacked_applyHomogeneousCFBCs 0.0000  0.0% 0 
                                       [1541] inhomogeneous_cfbcs_define 0.0000  0.0% 0 
                                       [1542] inhomogeneous_cfbcs_execute 0.0000  0.0% 0 
                                 [66] FORT_DOALLREGULARGSRB 1.4450  3.2% 2201580 
                                 [100] exchange 0.6966  1.6% 27180 
                                    [101] local copying 0.6942  1.5% 27180 
                                       [113] BaseEBCellFAB::copy 0.5857  1.3% 2745180 
                                          [163] BaseEBCellFAB::regcopy 0.2971  0.7% 2745180 
                              [93] exchange 0.7453  1.7% 27180 
                                 [94] local copying 0.7429  1.7% 27180 
                                    [109] BaseEBCellFAB::copy 0.6101  1.4% 2745180 
                                       [161] BaseEBCellFAB::regcopy 0.3049  0.7% 2745180 
                              [123] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.5110  1.1% 1100790 
                                 [129] EBAMRPoissonOp::applyDomainFlux 0.4626  1.0% 1100790 
                                    [145] EBArith::loHi 0.3597  0.8% 2201580 
                     [13] EBAMRPoissonOp::AMRRestrict 5.7960 12.9% 4530 
                        [31] EBAMRPoissonOp::applyOp 2.9490  6.6% 4530 
                           [37] coarse-fine_bcs 2.1500  4.8% 4530 
                              [38] EBAMRPoissonOp::applyCFBCs 2.1492  4.8% 4530 
                                 [39] inhomogeneous_cfbcs_execute 2.1479  4.8% 4530 
                                    [59] QuadCFInterp::coarseFineInterp 1.5568  3.5% 4530 
                                       [65] QuadCFInterp::coarseFineInterp(BaseFab<Real> & a_phif,...) 1.4661  3.3% 733860 
                                          [76] QuadCFInterp::getPhiStar 1.1604  2.6% 502830 
                                             [105] QuadCFInterp::slopes 0.6699  1.5% 502830 
                                             [154] QuadCFInterp::notPacked 0.3431  0.8% 502830 
                                             [367] QuadCFInterp::preamble 0.0764  0.2% 502830 
                                          [174] QuadCFInterp::interpOnIVS 0.2281  0.5% 502830 
                                             [428] FORT_QUADINTERP 0.0548  0.1% 348810 
                                       [409] copyTo 0.0595  0.1% 4530 
                                          [412] local copying 0.0590  0.1% 4530 
                                    [214] exchange+copier 0.1594  0.4% 4530 
                                       [237] exchange 0.1377  0.3% 4530 
                                          [238] local copying 0.1370  0.3% 4530 
                                             [287] BaseEBCellFAB::copy 0.1059  0.2% 457530 
                                                [435] BaseEBCellFAB::regcopy 0.0524  0.1% 457530 
                                       [571] Copier::define 0.0208  0.0% 300 
                                    [281] exchange 0.1087  0.2% 4530 
                                       [284] local copying 0.1083  0.2% 4530 
                                          [331] BaseEBCellFAB::copy 0.0884  0.2% 443940 
                                             [473] BaseEBCellFAB::regcopy 0.0401  0.1% 443940 
                                    [459] LevelData<T>::define(dbl,comps,ghost,factory) 0.0442  0.1% 9060 
                                    [591] ~LayoutData 0.0183  0.0% 18120 
                                    [1045] ~Copier 0.0013  0.0% 9060 
                                    [1243] ~BoxLayoutData 0.0003  0.0% 9060 
                                    [1248] ~LevelData 0.0003  0.0% 9060 
                                 [1297] inhomogeneous_cfbcs_define 0.0001  0.0% 4530 
                                 [1545] homogeneous_cfbs 0.0000  0.0% 0 
                           [104] EBAMRPoissonOp::applyOpNoCFBCs 0.6752  1.5% 4530 
                              [176] regular_apply 0.2227  0.5% 183465 
                                 [181] EBAMRPoissonOp::applyOpRegularAllDirs 0.2137  0.5% 183465 
                                    [261] FORT_REGGET1DLAPLACIAN_INPLACE 0.1206  0.3% 183465 
                                    [358] EBAMRPoissonOp::applyDomainFlux 0.0791  0.2% 183465 
                                       [405] EBArith::loHi 0.0609  0.1% 366930 
                              [198] irregular_apply 0.1906  0.4% 183465 
                                 [206] EBStencil::apply_alpha_beta 0.1795  0.4% 183465 
                                    [219] apply_alpha_beta_loop_overvofs 0.1536  0.3% 183465 
                                    [704] apply_alpha_beta_header 0.0100  0.0% 183465 
                              [212] alpha_apply 0.1668  0.4% 183465 
                                 [300] BaseEBCellFAB::copy 0.0990  0.2% 183465 
                                    [330] overlap_copy 0.0904  0.2% 183465 
                                       [362] BaseEBCellFAB::copy 0.0787  0.2% 183465 
                                          [423] BaseEBCellFAB::regcopy 0.0560  0.1% 183465 
                                    [1546] sameregion_copy 0.0000  0.0% 0 
                                 [480] FORT_MULTIPLYFABR 0.0377  0.1% 183465 
                              [487] dom_bcs_apply 0.0357  0.1% 183465 
                              [934] eb_bcs_apply 0.0026  0.0% 183465 
                           [258] exchange+copier 0.1212  0.3% 4530 
                              [260] exchange 0.1206  0.3% 4530 
                                 [266] local copying 0.1201  0.3% 4530 
                                    [302] BaseEBCellFAB::copy 0.0980  0.2% 457530 
                                       [441] BaseEBCellFAB::regcopy 0.0498  0.1% 457530 
                        [84] LevelData<T>::define(dbl,comps,ghost,factory) 0.9739  2.2% 4530 
                        [158] EBMGAverage::average 0.3157  0.7% 183465 
                           [217] regular_average 0.1566  0.3% 183465 
                              [225] FORT_REGAVERAGE 0.1488  0.3% 183465 
                           [247] irregular_average 0.1323  0.3% 183465 
                              [254] EBStencil::apply 0.1246  0.3% 183465 
                                 [328] apply_loop_overvofs 0.0924  0.2% 183465 
                                 [634] apply_header 0.0146  0.0% 183465 
                        [199] ~LayoutData 0.1873  0.4% 18120 
                        [352] copyTo 0.0802  0.2% 4530 
                           [354] local copying 0.0797  0.2% 4530 
                              [384] BaseEBCellFAB::copy 0.0682  0.2% 183465 
                                 [501] BaseEBCellFAB::regcopy 0.0333  0.1% 183465 
                        [395] FORT_SCALEADDTWOFAB 0.0640  0.1% 183465 
                        [478] FORT_MULTIPLYFABR 0.0385  0.1% 183465 
                        [1026] ~Copier 0.0015  0.0% 9060 
                        [1175] EBISLayoutImplem::~EBISLayoutImplem 0.0004  0.0% 9060 
                        [1223] ~LevelData 0.0003  0.0% 9060 
                        [1286] ~BoxLayoutData 0.0002  0.0% 9060 
                     [17] AMRMultiGrid<T>::computeAMRResidualLevel 4.1761  9.3% 4530 
                        [19] EBAMRPoissonOp::AMRResidual 4.1625  9.3% 4530 
                           [20] AMROperator 4.0541  9.0% 4530 
                              [21] EBAMRPoissonOp::AMROperator 4.0530  9.0% 4530 
                                 [28] reflux 3.0232  6.7% 4530 
                                    [29] EBAMRPoissonOp::reflux 3.0223  6.7% 4530 
                                       [33] AMRPoissonOp::reflux 2.8586  6.4% 4530 
                                          [55] QuadCFInterp::coarseFineInterp 1.6193  3.6% 4530 
                                             [60] QuadCFInterp::coarseFineInterp(BaseFab<Real> & a_phif,...) 1.5270  3.4% 733860 
                                                [74] QuadCFInterp::getPhiStar 1.1934  2.7% 502830 
                                                   [99] QuadCFInterp::slopes 0.6981  1.6% 502830 
                                                   [152] QuadCFInterp::notPacked 0.3462  0.8% 502830 
                                                   [365] QuadCFInterp::preamble 0.0780  0.2% 502830 
                                                [168] QuadCFInterp::interpOnIVS 0.2494  0.6% 502830 
                                                   [421] FORT_QUADINTERP 0.0562  0.1% 348810 
                                             [407] copyTo 0.0596  0.1% 4530 
                                                [410] local copying 0.0592  0.1% 4530 
                                          [97] AMRPoissonOp::reflux::incrementFine 0.7052  1.6% 4530 
                                             [141] LevelFluxRegister::incrementFine 0.3849  0.9% 733860 
                                                [319] FORT_INCREMENTFINE 0.0936  0.2% 733860 
                                             [297] AMRPoissonOp::getFlux1 0.0996  0.2% 733860 
                                                [391] FORT_NEWGETFLUX 0.0667  0.1% 733860 
                                          [138] AMRPoissonOp::reflux::incrementCoarse 0.3889  0.9% 4530 
                                             [190] AMRPoissonOp::getFlux2 0.1970  0.4% 86070 
                                                [316] FORT_NEWGETFLUX 0.0944  0.2% 86070 
                                             [209] LevelFluxRegister::incrementCoarse 0.1748  0.4% 172140 
                                          [289] LevelFluxRegister::reflux 0.1055  0.2% 4530 
                                             [463] copyTo 0.0422  0.1% 4530 
                                                [466] local copying 0.0413  0.1% 4530 
                                          [485] LevelFluxRegister::setToZero 0.0363  0.1% 4530 
                                       [439] LevelData<T>::define(dbl,comps,ghost,factory) 0.0508  0.1% 13590 
                                       [570] ~LayoutData 0.0209  0.0% 27180 
                                       [998] ~Copier 0.0017  0.0% 13590 
                                       [1273] ~LevelData 0.0002  0.0% 13590 
                                       [1284] ~BoxLayoutData 0.0002  0.0% 13590 
                                 [80] applyOp 1.0287  2.3% 4530 
                                    [81] EBAMRPoissonOp::applyOp 1.0268  2.3% 4530 
                                       [106] coarse-fine_bcs 0.6323  1.4% 2265 
                                          [107] EBAMRPoissonOp::applyCFBCs 0.6320  1.4% 2265 
                                             [108] inhomogeneous_cfbcs_execute 0.6314  1.4% 2265 
                                                [126] QuadCFInterp::coarseFineInterp 0.4896  1.1% 2265 
                                                   [128] QuadCFInterp::coarseFineInterp(BaseFab<Real> & a_phif,...) 0.4639  1.0% 163080 
                                                      [143] QuadCFInterp::getPhiStar 0.3655  0.8% 113250 
                                                         [180] QuadCFInterp::slopes 0.2149  0.5% 113250 
                                                         [277] QuadCFInterp::notPacked 0.1111  0.2% 113250 
                                                         [568] QuadCFInterp::preamble 0.0218  0.0% 113250 
                                                      [364] QuadCFInterp::interpOnIVS 0.0783  0.2% 113250 
                                                         [586] FORT_QUADINTERP 0.0190  0.0% 63420 
                                                   [597] copyTo 0.0176  0.0% 2265 
                                                      [601] local copying 0.0173  0.0% 2265 
                                                [450] exchange+copier 0.0457  0.1% 2265 
                                                   [471] exchange 0.0407  0.1% 2265 
                                                      [472] local copying 0.0404  0.1% 2265 
                                                         [517] BaseEBCellFAB::copy 0.0308  0.1% 126840 
                                                   [852] Copier::define 0.0044  0.0% 150 
                                                [574] exchange 0.0203  0.0% 2265 
                                                   [577] local copying 0.0200  0.0% 2265 
                                                      [610] BaseEBCellFAB::copy 0.0161  0.0% 81540 
                                                         [761] BaseEBCellFAB::regcopy 0.0073  0.0% 81540 
                                                [677] LevelData<T>::define(dbl,comps,ghost,factory) 0.0113  0.0% 4530 
                                                [864] ~LayoutData 0.0041  0.0% 9060 
                                                [1110] ~Copier 0.0008  0.0% 4530 
                                                [1318] ~LevelData 0.0001  0.0% 4530 
                                                [1329] ~BoxLayoutData 0.0001  0.0% 4530 
                                             [1205] inhomogeneous_cfbcs_define 0.0004  0.0% 2265 
                                             [1544] homogeneous_cfbs 0.0000  0.0% 0 
                                       [148] EBAMRPoissonOp::applyOpNoCFBCs 0.3580  0.8% 4530 
                                          [222] regular_apply 0.1497  0.3% 43035 
                                             [227] EBAMRPoissonOp::applyOpRegularAllDirs 0.1474  0.3% 43035 
                                                [279] FORT_REGGET1DLAPLACIAN_INPLACE 0.1092  0.2% 43035 
                                                [496] EBAMRPoissonOp::applyDomainFlux 0.0340  0.1% 43035 
                                                   [615] EBArith::loHi 0.0157  0.0% 86070 
                                                   [797] FORT_REGAPPLYDOMAINFLUX_INPLACE 0.0063  0.0% 9060 
