x	y	color
0.992145	0.159793	4
0.542285	0.597495	6
0.423571	0.631528	85
0.790189	0.444671	70
0.56455	0.579264	15
0.0199339	0.150165	56
0.189908	0.179794	48
0.980407	0.25709	99
0.670065	0.159543	77
0.882861	0.31673	40
0.51594	0.417875	50
0.757875	0.115438	15
0.195208	0.214071	60
0.863895	0.842965	53
0.533065	0.540282	12
0.797556	0.950275	28
0.198198	0.0698625	5
0.892334	0.413537	41
0.693171	0.773028	8
0.274555	0.00563984	68
0.600954	0.803385	75
0.737633	0.712408	57
0.997018	0.335061	84
0.662118	0.851224	79
0.599741	0.570081	46
0.96986	0.590228	11
0.645417	0.276005	45
0.686879	0.574932	72
0.775266	0.960354	51
0.274594	0.48717	63
0.786031	0.341232	8
0.596326	0.668683	49
0.687021	0.306062	4
0.860464	0.560467	11
0.419595	0.378361	97
0.393606	0.450636	46
0.83062	0.623833	26
0.452495	0.00375823	60
0.491477	0.107226	33
0.648591	0.184198	34
0.333922	0.0943771	95
0.488188	0.125946	76
0.444262	0.573641	1
0.731392	0.650275	100
0.943147	0.588646	55
0.910902	0.331119	29
0.740174	0.647237	19
0.813815	0.680259	15
0.686415	0.696386	51
0.552372	0.776034	47
0.60883	0.575234	46
0.842485	0.26026	82
0.95565	0.90845	69
0.665197	0.356514	93
0.0342831	0.00953664	93
0.595965	0.703466	47
0.897704	0.556968	100
0.782134	0.453044	93
0.917992	0.791209	67
0.28178	0.476944	91
0.912311	0.78509	46
0.867416	0.503741	40
0.202833	0.29384	48
0.506478	0.469434	5
0.664335	0.602225	47
0.665919	0.318171	12
0.317224	0.122355	37
0.608451	0.29636	100
0.747676	0.898587	45
0.850773	0.885538	3
0.499694	0.737976	10
0.844671	0.900754	64
0.672983	0.695319	59
0.289887	0.371964	5
0.572561	0.626292	32
0.767888	0.828087	61
0.979393	0.957457	24
0.818092	0.184493	55
0.680204	0.548899	34
0.834669	0.743977	98
0.947847	0.493971	97
0.777333	0.715043	45
0.771186	0.509729	51
0.603612	0.609879	78
0.787844	0.427064	49
0.076807	0.000585424	66
0.0777999	0.166832	39
0.80068	0.242069	8
0.258304	0.257228	74
0.495437	0.615808	97
0.612787	0.854134	72
0.401765	0.543176	100
0.509708	0.15296	57
0.834933	0.412798	14
0.885034	0.716651	62
0.494225	0.598361	60
0.430985	0.281265	29
0.979755	0.824837	35
0.505104	0.0419113	40
0.551303	0.0887982	42
0.243401	0.142675	43
0.81168	0.981794	13
0.7556	0.364338	1
0.423074	0.556769	45
0.865924	0.724175	63
0.17025	0.130204	3
0.828216	0.475025	43
0.25827	0.338474	67
0.710221	0.381954	69
0.533365	0.0988121	30
0.793435	0.797545	79
0.66415	0.252882	98
0.189462	0.0947605	4
0.821016	0.191838	20
0.739482	0.388656	45
0.846398	0.421386	15
0.918131	0.194206	41
0.649432	0.372164	40
0.829236	0.914191	3
0.646296	0.398864	61
0.573566	0.413134	90
0.708767	0.838983	79
0.298167	0.139233	36
0.563007	0.325218	24
0.0864638	0.221124	86
0.83435	0.643865	23
0.444051	0.248151	44
0.749881	0.317247	44
0.885335	0.790543	37
0.730174	0.0117415	85
0.091733	0.206716	30
0.830789	0.58257	19
0.577673	0.419575	32
0.358627	0.147776	7
0.545261	0.0283094	42
0.976478	0.12165	16
0.268594	0.181316	79
0.662716	0.650595	27
0.246838	0.00357873	49
0.455643	0.286195	79
0.9859	0.563272	20
0.695697	0.543211	70
0.800297	0.300562	86
0.78851	0.516589	10
0.695639	0.562327	10
0.856981	0.96331	17
0.943416	0.227072	100
0.289959	0.530784	86
0.670695	0.466447	53
