# E/N (Td)	Townsend ioniz. coef. alpha/N (m2)
1.000	0.000
5.006	0.000
9.012	0.000
13.02	0.000
17.02	0.000
21.03	0.8302E-32
25.04	0.6423E-30
29.04	0.1232E-28
33.05	0.1200E-27
37.05	0.7097E-27
41.06	0.3033E-26
45.07	0.1006E-25
49.07	0.2774E-25
53.08	0.6697E-25
57.08	0.1428E-24
61.09	0.2782E-24
65.10	0.5050E-24
69.10	0.8568E-24
73.11	0.1379E-23
77.11	0.2124E-23
81.12	0.3151E-23
85.13	0.4512E-23
89.13	0.6274E-23
93.14	0.8502E-23
97.14	0.1126E-22
101.2	0.1462E-22
105.2	0.1863E-22
109.2	0.2337E-22
113.2	0.2888E-22
117.2	0.3523E-22
121.2	0.4242E-22
125.2	0.5060E-22
129.2	0.5975E-22
133.2	0.6993E-22
137.2	0.8116E-22
141.2	0.9350E-22
145.2	0.1070E-21
149.2	0.1217E-21
153.2	0.1375E-21
157.2	0.1545E-21
161.2	0.1728E-21
165.2	0.1922E-21
169.3	0.2129E-21
173.3	0.2349E-21
177.3	0.2582E-21
181.3	0.2828E-21
185.3	0.3087E-21
189.3	0.3358E-21
193.3	0.3642E-21
197.3	0.3938E-21
201.3	0.4248E-21
205.3	0.4571E-21
209.3	0.4906E-21
213.3	0.5254E-21
217.3	0.5615E-21
221.3	0.5994E-21
225.3	0.6379E-21
229.3	0.6778E-21
233.3	0.7188E-21
237.4	0.7611E-21
241.4	0.8046E-21
245.4	0.8493E-21
249.4	0.8951E-21
253.4	0.9421E-21
257.4	0.9903E-21
261.4	0.1039E-20
265.4	0.1090E-20
269.4	0.1141E-20
273.4	0.1194E-20
277.4	0.1248E-20
281.4	0.1302E-20
285.4	0.1358E-20
289.4	0.1415E-20
293.4	0.1473E-20
297.4	0.1532E-20
301.5	0.1591E-20
305.5	0.1652E-20
309.5	0.1714E-20
313.5	0.1776E-20
317.5	0.1840E-20
321.5	0.1904E-20
325.5	0.1970E-20
329.5	0.2036E-20
333.5	0.2103E-20
337.5	0.2170E-20
341.5	0.2239E-20
345.5	0.2308E-20
349.5	0.2378E-20
353.5	0.2449E-20
357.5	0.2521E-20
361.5	0.2593E-20
365.5	0.2666E-20
369.6	0.2740E-20
373.6	0.2815E-20
377.6	0.2890E-20
381.6	0.2965E-20
385.6	0.3042E-20
389.6	0.3118E-20
393.6	0.3196E-20
397.6	0.3274E-20
401.6	0.3353E-20
405.6	0.3432E-20
409.6	0.3512E-20
413.6	0.3592E-20
417.6	0.3673E-20
421.6	0.3754E-20
425.6	0.3836E-20
429.6	0.3918E-20
433.6	0.4001E-20
437.7	0.4084E-20
441.7	0.4167E-20
445.7	0.4251E-20
449.7	0.4336E-20
453.7	0.4421E-20
457.7	0.4506E-20
461.7	0.4591E-20
465.7	0.4677E-20
469.7	0.4764E-20
473.7	0.4850E-20
477.7	0.4937E-20
481.7	0.5024E-20
485.7	0.5112E-20
489.7	0.5200E-20
493.7	0.5289E-20
497.7	0.5377E-20
501.8	0.5466E-20
505.8	0.5555E-20
509.8	0.5644E-20
513.8	0.5734E-20
517.8	0.5823E-20
521.8	0.5913E-20
525.8	0.6003E-20
529.8	0.6094E-20
533.8	0.6184E-20
537.8	0.6275E-20
541.8	0.6366E-20
545.8	0.6457E-20
549.8	0.6549E-20
553.8	0.6640E-20
557.8	0.6732E-20
561.8	0.6824E-20
565.8	0.6916E-20
569.9	0.7008E-20
573.9	0.7100E-20
577.9	0.7192E-20
581.9	0.7285E-20
585.9	0.7377E-20
589.9	0.7470E-20
593.9	0.7563E-20
597.9	0.7655E-20
601.9	0.7748E-20
605.9	0.7841E-20
609.9	0.7934E-20
613.9	0.8028E-20
617.9	0.8121E-20
621.9	0.8214E-20
625.9	0.8307E-20
629.9	0.8401E-20
633.9	0.8494E-20
638.0	0.8588E-20
642.0	0.8681E-20
646.0	0.8775E-20
650.0	0.8868E-20
654.0	0.8962E-20
658.0	0.9055E-20
662.0	0.9149E-20
666.0	0.9243E-20
670.0	0.9336E-20
674.0	0.9430E-20
678.0	0.9523E-20
682.0	0.9617E-20
686.0	0.9711E-20
690.0	0.9804E-20
694.0	0.9898E-20
698.0	0.9991E-20
702.1	0.1008E-19
706.1	0.1018E-19
710.1	0.1027E-19
714.1	0.1036E-19
718.1	0.1046E-19
722.1	0.1055E-19
726.1	0.1064E-19
730.1	0.1074E-19
734.1	0.1083E-19
738.1	0.1092E-19
742.1	0.1102E-19
746.1	0.1111E-19
750.1	0.1120E-19
754.1	0.1130E-19
758.1	0.1139E-19
762.1	0.1148E-19
766.1	0.1157E-19
770.2	0.1167E-19
774.2	0.1176E-19
778.2	0.1185E-19
782.2	0.1194E-19
786.2	0.1204E-19
790.2	0.1213E-19
794.2	0.1222E-19
798.2	0.1231E-19
802.2	0.1240E-19
806.2	0.1250E-19
810.2	0.1259E-19
814.2	0.1268E-19
818.2	0.1277E-19
822.2	0.1286E-19
826.2	0.1295E-19
830.2	0.1304E-19
834.3	0.1314E-19
838.3	0.1323E-19
842.3	0.1332E-19
846.3	0.1341E-19
850.3	0.1350E-19
854.3	0.1359E-19
858.3	0.1368E-19
862.3	0.1377E-19
866.3	0.1386E-19
870.3	0.1395E-19
874.3	0.1404E-19
878.3	0.1413E-19
882.3	0.1422E-19
886.3	0.1431E-19
890.3	0.1440E-19
894.3	0.1449E-19
898.3	0.1458E-19
902.4	0.1466E-19
906.4	0.1475E-19
910.4	0.1484E-19
914.4	0.1493E-19
918.4	0.1502E-19
922.4	0.1511E-19
926.4	0.1520E-19
930.4	0.1528E-19
934.4	0.1537E-19
938.4	0.1546E-19
942.4	0.1555E-19
946.4	0.1563E-19
950.4	0.1572E-19
954.4	0.1581E-19
958.4	0.1590E-19
962.4	0.1598E-19
966.4	0.1607E-19
970.5	0.1616E-19
974.5	0.1624E-19
978.5	0.1633E-19
982.5	0.1641E-19
986.5	0.1650E-19
990.5	0.1659E-19
994.5	0.1667E-19
998.5	0.1676E-19
1003.	0.1684E-19
1007.	0.1693E-19
1011.	0.1701E-19
1015.	0.1710E-19
1019.	0.1718E-19
1023.	0.1727E-19
1027.	0.1735E-19
1031.	0.1744E-19
1035.	0.1752E-19
1039.	0.1760E-19
1043.	0.1769E-19
1047.	0.1777E-19
1051.	0.1785E-19
1055.	0.1794E-19
1059.	0.1802E-19
1063.	0.1810E-19
1067.	0.1819E-19
1071.	0.1827E-19
1075.	0.1835E-19
1079.	0.1843E-19
1083.	0.1852E-19
1087.	0.1860E-19
1091.	0.1868E-19
1095.	0.1876E-19
1099.	0.1884E-19
1103.	0.1892E-19
1107.	0.1901E-19
1111.	0.1909E-19
1115.	0.1917E-19
1119.	0.1925E-19
1123.	0.1933E-19
1127.	0.1941E-19
1131.	0.1949E-19
1135.	0.1957E-19
1139.	0.1965E-19
1143.	0.1973E-19
1147.	0.1981E-19
1151.	0.1989E-19
1155.	0.1997E-19
1159.	0.2005E-19
1163.	0.2013E-19
1167.	0.2020E-19
1171.	0.2028E-19
1175.	0.2036E-19
1179.	0.2044E-19
1183.	0.2052E-19
1187.	0.2060E-19
1191.	0.2067E-19
1195.	0.2075E-19
1199.	0.2083E-19
1203.	0.2091E-19
1207.	0.2098E-19
1211.	0.2106E-19
1215.	0.2114E-19
1219.	0.2121E-19
1223.	0.2129E-19
1227.	0.2137E-19
1231.	0.2144E-19
1235.	0.2152E-19
1239.	0.2159E-19
1243.	0.2167E-19
1247.	0.2174E-19
1251.	0.2182E-19
1255.	0.2189E-19
1259.	0.2197E-19
1263.	0.2204E-19
1267.	0.2212E-19
1271.	0.2219E-19
1275.	0.2227E-19
1279.	0.2234E-19
1283.	0.2241E-19
1287.	0.2249E-19
1291.	0.2256E-19
1295.	0.2264E-19
1299.	0.2271E-19
1303.	0.2278E-19
1307.	0.2286E-19
1311.	0.2293E-19
1315.	0.2300E-19
1319.	0.2307E-19
1323.	0.2315E-19
1327.	0.2322E-19
1331.	0.2329E-19
1335.	0.2336E-19
1339.	0.2343E-19
1343.	0.2350E-19
1347.	0.2358E-19
1351.	0.2365E-19
1355.	0.2372E-19
1359.	0.2379E-19
1363.	0.2386E-19
1367.	0.2393E-19
