# E/N (Td)	Diffusion coefficient *N (1/m/s)
1.000	0.1291E+25
5.006	0.1748E+25
9.012	0.1859E+25
13.02	0.1883E+25
17.02	0.1886E+25
21.03	0.1886E+25
25.04	0.1882E+25
29.04	0.1878E+25
33.05	0.1875E+25
37.05	0.1872E+25
41.06	0.1871E+25
45.07	0.1876E+25
49.07	0.1887E+25
53.08	0.1906E+25
57.08	0.1931E+25
61.09	0.1964E+25
65.10	0.2009E+25
69.10	0.2057E+25
73.11	0.2111E+25
77.11	0.2171E+25
81.12	0.2233E+25
85.13	0.2300E+25
89.13	0.2370E+25
93.14	0.2441E+25
97.14	0.2513E+25
101.2	0.2583E+25
105.2	0.2654E+25
109.2	0.2725E+25
113.2	0.2795E+25
117.2	0.2863E+25
121.2	0.2932E+25
125.2	0.2997E+25
129.2	0.3060E+25
133.2	0.3121E+25
137.2	0.3181E+25
141.2	0.3238E+25
145.2	0.3294E+25
149.2	0.3346E+25
153.2	0.3399E+25
157.2	0.3450E+25
161.2	0.3499E+25
165.2	0.3547E+25
169.3	0.3594E+25
173.3	0.3639E+25
177.3	0.3683E+25
181.3	0.3731E+25
185.3	0.3773E+25
189.3	0.3813E+25
193.3	0.3853E+25
197.3	0.3891E+25
201.3	0.3928E+25
205.3	0.3965E+25
209.3	0.4001E+25
213.3	0.4036E+25
217.3	0.4070E+25
221.3	0.4109E+25
225.3	0.4142E+25
229.3	0.4174E+25
233.3	0.4205E+25
237.4	0.4236E+25
241.4	0.4267E+25
245.4	0.4297E+25
249.4	0.4326E+25
253.4	0.4355E+25
257.4	0.4384E+25
261.4	0.4398E+25
265.4	0.4426E+25
269.4	0.4454E+25
273.4	0.4481E+25
277.4	0.4508E+25
281.4	0.4534E+25
285.4	0.4560E+25
289.4	0.4586E+25
293.4	0.4612E+25
297.4	0.4637E+25
301.5	0.4662E+25
305.5	0.4687E+25
309.5	0.4715E+25
313.5	0.4739E+25
317.5	0.4763E+25
321.5	0.4787E+25
325.5	0.4810E+25
329.5	0.4833E+25
333.5	0.4856E+25
337.5	0.4879E+25
341.5	0.4902E+25
345.5	0.4925E+25
349.5	0.4947E+25
353.5	0.4969E+25
357.5	0.4991E+25
361.5	0.5013E+25
365.5	0.5037E+25
369.6	0.5058E+25
373.6	0.5079E+25
377.6	0.5101E+25
381.6	0.5122E+25
385.6	0.5143E+25
389.6	0.5163E+25
393.6	0.5184E+25
397.6	0.5204E+25
401.6	0.5225E+25
405.6	0.5245E+25
409.6	0.5265E+25
413.6	0.5285E+25
417.6	0.5305E+25
421.6	0.5325E+25
425.6	0.5349E+25
429.6	0.5369E+25
433.6	0.5388E+25
437.7	0.5408E+25
441.7	0.5427E+25
445.7	0.5446E+25
449.7	0.5465E+25
453.7	0.5484E+25
457.7	0.5503E+25
461.7	0.5522E+25
465.7	0.5541E+25
469.7	0.5559E+25
473.7	0.5578E+25
477.7	0.5596E+25
481.7	0.5615E+25
485.7	0.5633E+25
489.7	0.5651E+25
493.7	0.5669E+25
497.7	0.5687E+25
501.8	0.5705E+25
505.8	0.5723E+25
509.8	0.5741E+25
513.8	0.5758E+25
517.8	0.5776E+25
521.8	0.5794E+25
525.8	0.5811E+25
529.8	0.5829E+25
533.8	0.5846E+25
537.8	0.5864E+25
541.8	0.5881E+25
545.8	0.5898E+25
549.8	0.5916E+25
553.8	0.5933E+25
557.8	0.5950E+25
561.8	0.5967E+25
565.8	0.5984E+25
569.9	0.5996E+25
573.9	0.6013E+25
577.9	0.6030E+25
581.9	0.6047E+25
585.9	0.6064E+25
589.9	0.6080E+25
593.9	0.6097E+25
597.9	0.6114E+25
601.9	0.6130E+25
605.9	0.6147E+25
609.9	0.6163E+25
613.9	0.6180E+25
617.9	0.6196E+25
621.9	0.6212E+25
625.9	0.6228E+25
629.9	0.6245E+25
633.9	0.6261E+25
638.0	0.6277E+25
642.0	0.6293E+25
646.0	0.6309E+25
650.0	0.6329E+25
654.0	0.6345E+25
658.0	0.6361E+25
662.0	0.6376E+25
666.0	0.6392E+25
670.0	0.6408E+25
674.0	0.6424E+25
678.0	0.6439E+25
682.0	0.6455E+25
686.0	0.6471E+25
690.0	0.6486E+25
694.0	0.6502E+25
698.0	0.6517E+25
