# ==================================================================================================================================
# Inception voltage + = 120838,	 x = (-0.0153403,-0.0153403)
# Inception voltage - = 124861,	 x = (-0.015022,-0.015022)
# ==================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     Rdot (+)            Rdot (-)            
# ==================================================================================================================================
100000         6.43588        5.69205        0                   0                   0                   0                   3.42487e-06         0                   0                   
102857         7.14601        6.33954        0                   0                   0                   0                   4.32456e-06         0                   0                   
105714         7.84725        6.95054        0                   0                   0                   0                   5.17955e-06         0                   0                   
108571         8.53451        7.64994        0                   0                   0                   0                   6.04092e-06         0                   0                   
111429         9.28931        8.3504         0                   0                   0                   0                   7.01828e-06         0                   0                   
114286         10.0385        9.02107        0                   0                   0                   0                   8.66214e-06         0                   0                   
117143         10.9375        9.82587        0                   0                   0                   0                   1.0922e-05          0                   0                   
120000         11.7365        10.6307        0                   0                   0                   0                   1.23641e-05         0                   0                   
122857         12.6355        11.4355        1.07288e-10         0                   0                   0                   1.40287e-05         105414              0                   
125714         13.5345        12.2403        4.82798e-10         1.71661e-09         0                   0                   1.59816e-05         462417              1.06479e+06         
128571         14.4335        13.0792        1.30936e-09         4.07696e-09         2.96041e-05         0                   1.8681e-05          1.24183e+06         2.39345e+06         
131429         15.4823        14.0181        2.14916e-09         7.72476e-09         3.83443e-05         0                   2.30732e-05         1.97729e+06         3.61774e+06         
134286         16.3813        14.9571        3.11615e-09         1.35845e-08         7.70921e-05         4.76343e-05         3.20076e-05         2.84449e+06         5.27132e+06         
137143         17.4301        16.2842        4.16951e-09         1.80906e-08         9.94936e-05         4.76343e-05         4.28746e-05         3.79956e+06         6.86767e+06         
140000         18.1817        17.848         6.17267e-09         2.33424e-08         0.000121425         7.9593e-05          5.46063e-05         5.42e+06            9.61056e+06         
142857         18.8437        18.4384        1.11616e-08         1.26664e-07         0.000121425         0.000114741         6.63332e-05         9.62306e+06         3.76787e+07         
145714         18.9406        18.4156        2.04246e-08         3.69136e-07         0.000145145         0.000114741         7.69564e-05         1.75603e+07         1.01266e+08         
148571         18.9926        18.4048        3.56317e-08         6.94595e-07         0.000166958         0.000114741         8.83207e-05         3.04411e+07         1.87732e+08         
151429         19.0129        18.3624        1.21852e-07         1.0899e-06          0.000210087         0.000114741         9.98285e-05         8.0284e+07          2.96314e+08         
154286         19.0129        18.3481        1.70366e-07         2.76478e-06         0.000256604         0.000114741         0.000113381         1.16398e+08         4.64504e+08         
157143         19.0129        18.3934        3.10179e-07         7.36992e-06         0.000284341         0.000114741         0.000129424         2.02293e+08         8.14189e+08         
160000         19.0129        18.3954        5.48686e-07         2.19736e-05         0.000305484         0.000114741         0.000151344         3.52706e+08         1.69653e+09         
# ==================================================================================================================================
