# Transport data with three-body reactions for N2/O2 mixtures (80% N2, 20% O2)
# 
# Column 1:  Electric field (E/N)
# Column 2:  Electron temperature (eV)
# Column 3:  Electron mobility (mu*N) 
# Column 4:  Electron diffusion (D*N) 
# Column 5:  Rate for e + N2 ->[k1] e + N2+
# Column 6:  Rate for e + O2 ->[k2] e + O2+
# Column 7:  Rate for e + O2 ->[k3] O- + O
# Column 8:  Rate for e + O2 ->[k4] O2-(exc)
# Column 9:  Rate for O2-(exc) ->[k5] e + O2
# Column 10: Rate for O2-(exc) + O2 ->[k6] O2- + O2
# Column 11: Rate for e + N2 ->[k7] e + N2(1PN2)
# Column 12: Three-body rate k4*k6/k5
# 
# With the exception of k5, all rates are given in m^3/s, i.e. they must be multiplied by the concentration of the neutral on the left-hand side of the reaction.
# Note that k4 was reverse engineered from Kossyi et. al (eq. 45), and depends on the electron temperature.
# In this data the temperature was computed using 80% N2 and 20%O2
# 
1.000000000000000000e+01 9.397999999999999687e-01 2.027027027027027066e+24 1.869567567567567442e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.322002131758314610e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.322002131758315786e-43
1.006163238203698107e+01 9.410206296507190871e-01 2.022437661297328943e+24 1.870120179900205509e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.313417797182931042e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.313417797182932231e-43
1.012364461912551761e+01 9.422264231496628728e-01 2.017958999729823568e+24 1.870464692328475029e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.304957429756180351e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.304957429756180856e-43
1.018603905240277996e+01 9.434396482411652185e-01 2.013452735104243644e+24 1.870811328068904213e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.296464540732030921e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.296464540732030611e-43
1.024881803743491027e+01 9.446308585843272709e-01 2.009028239543927109e+24 1.871303347762472730e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.288144844730822356e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.288144844730822988e-43
1.031198394430597887e+01 9.457944410793206469e-01 2.004706361705380293e+24 1.871968252045325983e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.280036303255355098e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.280036303255355794e-43
1.037553915770744695e+01 9.469651950104003291e-01 2.000357847104227360e+24 1.872637254291657224e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.271895874709357223e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.271895874709357048e-43
1.043948607702819587e+01 9.481276455889255939e-01 1.995982531571755002e+24 1.873155189879095773e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.263831072268479772e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.263831072268480009e-43
1.050382711644511602e+01 9.492790115574388787e-01 1.991580249927439366e+24 1.873493826928658556e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.255860688306892879e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.255860688306893953e-43
1.056856470501423040e+01 9.504374736686757030e-01 1.987150835972710303e+24 1.873834551079022371e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.247858717207435313e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.247858717207436252e-43
