# E/N (Td)	Townsend attach. coef. eta/N (m2)
1.000	0.8026E-40
5.006	0.1207E-40
9.012	0.6137E-41
13.02	0.1307E-30
17.02	0.4490E-28
21.03	0.1248E-26
25.04	0.1173E-25
29.04	0.5716E-25
33.05	0.1907E-24
37.05	0.4779E-24
41.06	0.9989E-24
45.07	0.1804E-23
49.07	0.2933E-23
53.08	0.4436E-23
57.08	0.6222E-23
61.09	0.8281E-23
65.10	0.1060E-22
69.10	0.1302E-22
73.11	0.1553E-22
77.11	0.1806E-22
81.12	0.2058E-22
85.13	0.2299E-22
89.13	0.2528E-22
93.14	0.2743E-22
97.14	0.2942E-22
101.2	0.3122E-22
105.2	0.3287E-22
109.2	0.3434E-22
113.2	0.3565E-22
117.2	0.3680E-22
121.2	0.3775E-22
125.2	0.3861E-22
129.2	0.3935E-22
133.2	0.3997E-22
137.2	0.4048E-22
141.2	0.4089E-22
145.2	0.4122E-22
149.2	0.4151E-22
153.2	0.4168E-22
157.2	0.4179E-22
161.2	0.4184E-22
165.2	0.4184E-22
169.3	0.4180E-22
173.3	0.4171E-22
177.3	0.4160E-22
181.3	0.4146E-22
185.3	0.4129E-22
189.3	0.4109E-22
193.3	0.4087E-22
197.3	0.4063E-22
201.3	0.4038E-22
205.3	0.4011E-22
209.3	0.3983E-22
213.3	0.3954E-22
217.3	0.3925E-22
221.3	0.3898E-22
225.3	0.3867E-22
229.3	0.3835E-22
233.3	0.3804E-22
237.4	0.3772E-22
241.4	0.3740E-22
245.4	0.3707E-22
249.4	0.3675E-22
253.4	0.3643E-22
257.4	0.3611E-22
261.4	0.3578E-22
265.4	0.3546E-22
269.4	0.3514E-22
273.4	0.3483E-22
277.4	0.3451E-22
281.4	0.3420E-22
285.4	0.3389E-22
289.4	0.3359E-22
293.4	0.3328E-22
297.4	0.3298E-22
301.5	0.3268E-22
305.5	0.3239E-22
309.5	0.3209E-22
313.5	0.3180E-22
317.5	0.3152E-22
321.5	0.3124E-22
325.5	0.3096E-22
329.5	0.3068E-22
333.5	0.3041E-22
337.5	0.3015E-22
341.5	0.2988E-22
345.5	0.2962E-22
349.5	0.2936E-22
353.5	0.2911E-22
357.5	0.2886E-22
361.5	0.2861E-22
365.5	0.2837E-22
369.6	0.2813E-22
373.6	0.2789E-22
377.6	0.2766E-22
381.6	0.2743E-22
385.6	0.2720E-22
389.6	0.2697E-22
393.6	0.2675E-22
397.6	0.2653E-22
401.6	0.2632E-22
405.6	0.2610E-22
409.6	0.2589E-22
413.6	0.2568E-22
417.6	0.2548E-22
421.6	0.2528E-22
425.6	0.2507E-22
429.6	0.2488E-22
433.6	0.2468E-22
437.7	0.2449E-22
441.7	0.2430E-22
445.7	0.2412E-22
449.7	0.2393E-22
453.7	0.2375E-22
457.7	0.2357E-22
461.7	0.2340E-22
465.7	0.2322E-22
469.7	0.2305E-22
473.7	0.2288E-22
477.7	0.2272E-22
481.7	0.2255E-22
485.7	0.2239E-22
489.7	0.2223E-22
493.7	0.2208E-22
497.7	0.2192E-22
501.8	0.2177E-22
505.8	0.2161E-22
509.8	0.2146E-22
513.8	0.2131E-22
517.8	0.2117E-22
521.8	0.2102E-22
525.8	0.2088E-22
529.8	0.2074E-22
533.8	0.2060E-22
537.8	0.2046E-22
541.8	0.2032E-22
545.8	0.2019E-22
549.8	0.2006E-22
553.8	0.1993E-22
557.8	0.1980E-22
561.8	0.1967E-22
565.8	0.1954E-22
569.9	0.1942E-22
573.9	0.1930E-22
577.9	0.1918E-22
581.9	0.1906E-22
585.9	0.1894E-22
589.9	0.1882E-22
593.9	0.1870E-22
597.9	0.1859E-22
601.9	0.1847E-22
605.9	0.1836E-22
609.9	0.1825E-22
613.9	0.1814E-22
617.9	0.1803E-22
621.9	0.1793E-22
625.9	0.1782E-22
629.9	0.1772E-22
633.9	0.1761E-22
638.0	0.1751E-22
642.0	0.1741E-22
646.0	0.1731E-22
650.0	0.1722E-22
654.0	0.1712E-22
658.0	0.1702E-22
662.0	0.1693E-22
666.0	0.1683E-22
670.0	0.1674E-22
674.0	0.1665E-22
678.0	0.1656E-22
682.0	0.1647E-22
686.0	0.1638E-22
690.0	0.1629E-22
694.0	0.1620E-22
698.0	0.1612E-22
702.1	0.1603E-22
706.1	0.1595E-22
710.1	0.1586E-22
714.1	0.1578E-22
718.1	0.1570E-22
722.1	0.1562E-22
726.1	0.1554E-22
730.1	0.1546E-22
734.1	0.1538E-22
738.1	0.1530E-22
742.1	0.1522E-22
746.1	0.1515E-22
750.1	0.1507E-22
754.1	0.1500E-22
758.1	0.1492E-22
762.1	0.1485E-22
766.1	0.1478E-22
770.2	0.1471E-22
774.2	0.1463E-22
778.2	0.1456E-22
782.2	0.1449E-22
786.2	0.1443E-22
790.2	0.1436E-22
794.2	0.1429E-22
798.2	0.1422E-22
802.2	0.1416E-22
806.2	0.1409E-22
810.2	0.1403E-22
814.2	0.1396E-22
818.2	0.1390E-22
822.2	0.1384E-22
826.2	0.1377E-22
830.2	0.1371E-22
834.3	0.1365E-22
838.3	0.1359E-22
842.3	0.1353E-22
846.3	0.1347E-22
850.3	0.1342E-22
854.3	0.1336E-22
858.3	0.1330E-22
862.3	0.1324E-22
866.3	0.1319E-22
870.3	0.1313E-22
874.3	0.1307E-22
878.3	0.1302E-22
882.3	0.1296E-22
886.3	0.1291E-22
890.3	0.1286E-22
894.3	0.1280E-22
898.3	0.1275E-22
902.4	0.1270E-22
906.4	0.1265E-22
910.4	0.1259E-22
914.4	0.1254E-22
918.4	0.1249E-22
922.4	0.1244E-22
926.4	0.1239E-22
930.4	0.1234E-22
934.4	0.1230E-22
938.4	0.1225E-22
942.4	0.1220E-22
946.4	0.1215E-22
950.4	0.1211E-22
954.4	0.1206E-22
958.4	0.1201E-22
962.4	0.1197E-22
966.4	0.1192E-22
970.5	0.1188E-22
974.5	0.1183E-22
978.5	0.1179E-22
982.5	0.1175E-22
986.5	0.1170E-22
990.5	0.1166E-22
994.5	0.1162E-22
998.5	0.1157E-22
1003.	0.1153E-22
1007.	0.1149E-22
1011.	0.1145E-22
1015.	0.1141E-22
1019.	0.1137E-22
1023.	0.1133E-22
1027.	0.1129E-22
1031.	0.1125E-22
1035.	0.1121E-22
1039.	0.1117E-22
1043.	0.1113E-22
1047.	0.1109E-22
1051.	0.1105E-22
1055.	0.1102E-22
1059.	0.1098E-22
1063.	0.1094E-22
1067.	0.1090E-22
1071.	0.1087E-22
1075.	0.1083E-22
1079.	0.1079E-22
1083.	0.1076E-22
1087.	0.1072E-22
1091.	0.1069E-22
1095.	0.1065E-22
1099.	0.1062E-22
1103.	0.1058E-22
1107.	0.1055E-22
1111.	0.1052E-22
1115.	0.1048E-22
1119.	0.1045E-22
1123.	0.1042E-22
1127.	0.1038E-22
1131.	0.1035E-22
1135.	0.1032E-22
1139.	0.1029E-22
1143.	0.1025E-22
1147.	0.1022E-22
1151.	0.1019E-22
1155.	0.1016E-22
1159.	0.1013E-22
1163.	0.1010E-22
1167.	0.1007E-22
1171.	0.1004E-22
1175.	0.1001E-22
1179.	0.9978E-23
1183.	0.9948E-23
1187.	0.9919E-23
1191.	0.9890E-23
1195.	0.9861E-23
1199.	0.9832E-23
1203.	0.9803E-23
1207.	0.9775E-23
1211.	0.9747E-23
1215.	0.9719E-23
1219.	0.9691E-23
1223.	0.9664E-23
1227.	0.9637E-23
1231.	0.9610E-23
1235.	0.9583E-23
1239.	0.9556E-23
1243.	0.9529E-23
1247.	0.9503E-23
1251.	0.9477E-23
1255.	0.9451E-23
1259.	0.9425E-23
1263.	0.9400E-23
1267.	0.9374E-23
1271.	0.9349E-23
1275.	0.9324E-23
1279.	0.9299E-23
1283.	0.9274E-23
1287.	0.9250E-23
1291.	0.9225E-23
1295.	0.9201E-23
1299.	0.9177E-23
1303.	0.9153E-23
1307.	0.9129E-23
1311.	0.9106E-23
1315.	0.9083E-23
1319.	0.9060E-23
1323.	0.9037E-23
1327.	0.9014E-23
1331.	0.8991E-23
1335.	0.8968E-23
1339.	0.8946E-23
1343.	0.8923E-23
1347.	0.8901E-23
1351.	0.8879E-23
1355.	0.8857E-23
1359.	0.8835E-23
1363.	0.8814E-23
1367.	0.8792E-23
1371.	0.8771E-23
1375.	0.8750E-23
1379.	0.8729E-23
1383.	0.8708E-23
1387.	0.8687E-23
1391.	0.8666E-23
1395.	0.8646E-23
1399.	0.8625E-23
1403.	0.8605E-23
1407.	0.8585E-23
1411.	0.8565E-23
1415.	0.8545E-23
1419.	0.8525E-23
1423.	0.8505E-23
1427.	0.8486E-23
1431.	0.8466E-23
1435.	0.8447E-23
1439.	0.8428E-23
1443.	0.8409E-23
1447.	0.8390E-23
1451.	0.8371E-23
1455.	0.8352E-23
1459.	0.8335E-23
1463.	0.8316E-23
1467.	0.8298E-23
1471.	0.8280E-23
1475.	0.8262E-23
1479.	0.8244E-23
1483.	0.8226E-23
1487.	0.8208E-23
1491.	0.8190E-23
1495.	0.8173E-23
1499.	0.8155E-23
1503.	0.8138E-23
1507.	0.8121E-23
1511.	0.8103E-23
1515.	0.8086E-23
1519.	0.8069E-23
1523.	0.8052E-23
1527.	0.8036E-23
1531.	0.8019E-23
1535.	0.8002E-23
1539.	0.7986E-23
1543.	0.7970E-23
1547.	0.7953E-23
1551.	0.7937E-23
1555.	0.7921E-23
1559.	0.7905E-23
1563.	0.7889E-23
1567.	0.7873E-23
1571.	0.7858E-23
1575.	0.7842E-23
1579.	0.7827E-23
1583.	0.7811E-23
1587.	0.7796E-23
1591.	0.7780E-23
1595.	0.7765E-23
1599.	0.7750E-23
1603.	0.7735E-23
1607.	0.7720E-23
1611.	0.7705E-23
1615.	0.7692E-23
1619.	0.7677E-23
1623.	0.7662E-23
1627.	0.7648E-23
1631.	0.7633E-23
1635.	0.7619E-23
1639.	0.7605E-23
1643.	0.7591E-23
1647.	0.7576E-23
1651.	0.7562E-23
1655.	0.7548E-23
1659.	0.7535E-23
1663.	0.7521E-23
1668.	0.7507E-23
1672.	0.7493E-23
1676.	0.7480E-23
1680.	0.7466E-23
1684.	0.7453E-23
1688.	0.7440E-23
1692.	0.7426E-23
1696.	0.7413E-23
