Energy (eV)	Townsend ioniz. coef. alpha/N (m2)
0.5000	0.000
1.000	0.000
1.500	0.4389E-24
2.000	0.3178E-23
2.500	0.1032E-22
3.000	0.2522E-22
3.500	0.5265E-22
4.000	0.1007E-21
4.500	0.1829E-21
5.000	0.3055E-21
5.500	0.5018E-21
6.000	0.7557E-21
6.500	0.1114E-20
7.000	0.1537E-20
7.500	0.2047E-20
8.000	0.2632E-20
8.500	0.3272E-20
9.000	0.3962E-20
9.500	0.4707E-20
10.00	0.5490E-20
10.50	0.6285E-20
11.00	0.7107E-20
11.50	0.7953E-20
12.00	0.8807E-20
12.50	0.9661E-20
13.00	0.1052E-19
13.50	0.1138E-19
14.00	0.1223E-19
14.50	0.1308E-19
15.00	0.1392E-19
15.50	0.1475E-19
16.00	0.1557E-19
16.50	0.1638E-19
17.00	0.1718E-19
17.50	0.1796E-19
18.00	0.1873E-19
18.50	0.1949E-19
19.00	0.2022E-19
19.50	0.2094E-19
20.00	0.2166E-19
20.50	0.2235E-19
21.00	0.2303E-19
21.50	0.2370E-19
22.00	0.2435E-19
22.50	0.2498E-19
23.00	0.2561E-19
23.50	0.2622E-19
24.00	0.2681E-19
24.50	0.2739E-19
25.00	0.2795E-19
25.50	0.2850E-19
26.00	0.2904E-19
26.50	0.2957E-19
27.00	0.3008E-19
27.50	0.3058E-19
28.00	0.3107E-19
28.50	0.3154E-19
29.00	0.3201E-19
29.50	0.3246E-19
30.00	0.3290E-19
30.50	0.3334E-19
31.00	0.3376E-19
31.50	0.3418E-19
32.00	0.3458E-19
32.50	0.3497E-19
33.00	0.3534E-19
33.50	0.3571E-19
34.00	0.3608E-19
34.50	0.3643E-19
35.00	0.3678E-19
35.50	0.3712E-19
36.00	0.3745E-19
36.50	0.3777E-19
37.00	0.3808E-19
37.50	0.3838E-19
38.00	0.3868E-19
38.50	0.3896E-19
39.00	0.3925E-19
39.50	0.3953E-19
40.00	0.3980E-19
40.50	0.4006E-19
41.00	0.4031E-19
41.50	0.4056E-19
42.00	0.4081E-19
42.50	0.4104E-19
43.00	0.4127E-19
43.50	0.4150E-19
44.00	0.4171E-19
44.50	0.4193E-19
45.00	0.4214E-19
45.50	0.4235E-19
46.00	0.4255E-19
46.50	0.4275E-19
47.00	0.4294E-19
47.50	0.4312E-19
48.00	0.4330E-19
48.50	0.4347E-19
49.00	0.4365E-19
49.50	0.4381E-19
50.00	0.4397E-19
50.50	0.4413E-19
51.00	0.4428E-19
51.50	0.4443E-19
52.00	0.4458E-19
52.50	0.4473E-19
53.00	0.4487E-19
53.50	0.4501E-19
54.00	0.4514E-19
54.50	0.4527E-19
55.00	0.4539E-19
55.50	0.4551E-19
56.00	0.4563E-19
56.50	0.4575E-19
57.00	0.4587E-19
57.50	0.4597E-19
58.00	0.4609E-19
58.50	0.4619E-19
59.00	0.4629E-19
59.50	0.4639E-19
60.00	0.4649E-19
60.50	0.4658E-19
61.00	0.4667E-19
61.50	0.4675E-19
62.00	0.4684E-19
62.50	0.4693E-19
63.00	0.4701E-19
63.50	0.4709E-19
64.00	0.4717E-19
64.50	0.4725E-19
65.00	0.4732E-19
65.50	0.4739E-19
66.00	0.4746E-19
66.50	0.4752E-19
67.00	0.4759E-19
67.50	0.4765E-19
68.00	0.4772E-19
68.50	0.4778E-19
69.00	0.4784E-19
69.50	0.4789E-19
70.00	0.4794E-19
70.50	0.4799E-19
71.00	0.4804E-19
71.50	0.4809E-19
72.00	0.4814E-19
72.50	0.4819E-19
73.00	0.4823E-19
73.50	0.4827E-19
74.00	0.4832E-19
74.50	0.4836E-19
75.00	0.4839E-19
75.50	0.4843E-19
76.00	0.4846E-19
76.50	0.4850E-19
77.00	0.4853E-19
77.50	0.4856E-19
78.00	0.4860E-19
78.50	0.4863E-19
79.00	0.4865E-19
79.50	0.4868E-19
80.00	0.4870E-19
80.50	0.4872E-19
81.00	0.4875E-19
81.50	0.4877E-19
82.00	0.4879E-19
82.50	0.4881E-19
83.00	0.4884E-19
83.50	0.4886E-19
84.00	0.4888E-19
84.50	0.4889E-19
85.00	0.4891E-19
85.50	0.4892E-19
86.00	0.4893E-19
86.50	0.4895E-19
87.00	0.4896E-19
87.50	0.4897E-19
88.00	0.4898E-19
88.50	0.4898E-19
89.00	0.4899E-19
89.50	0.4900E-19
90.00	0.4901E-19
90.50	0.4901E-19
91.00	0.4902E-19
91.50	0.4903E-19
92.00	0.4903E-19
92.50	0.4903E-19
93.00	0.4903E-19
93.50	0.4903E-19
94.00	0.4903E-19
94.50	0.4903E-19
95.00	0.4903E-19
95.50	0.4904E-19
96.00	0.4904E-19
96.50	0.4903E-19
97.00	0.4903E-19
97.50	0.4903E-19
98.00	0.4902E-19
98.50	0.4901E-19
99.00	0.4901E-19
99.50	0.4900E-19
100.0	0.4900E-19
