Energy (eV)	Mobility *N (1/m/V/s)
0.5000	0.3862E+25
1.000	0.1803E+25
1.500	0.1282E+25
2.000	0.1220E+25
2.500	0.1177E+25
3.000	0.1140E+25
3.500	0.1114E+25
4.000	0.1085E+25
4.500	0.1054E+25
5.000	0.1031E+25
5.500	0.9988E+24
6.000	0.9765E+24
6.500	0.9464E+24
7.000	0.9234E+24
7.500	0.8996E+24
8.000	0.8769E+24
8.500	0.8567E+24
9.000	0.8378E+24
9.500	0.8193E+24
10.00	0.8016E+24
10.50	0.7861E+24
11.00	0.7712E+24
11.50	0.7564E+24
12.00	0.7428E+24
12.50	0.7303E+24
13.00	0.7184E+24
13.50	0.7070E+24
14.00	0.6961E+24
14.50	0.6858E+24
15.00	0.6760E+24
15.50	0.6669E+24
16.00	0.6580E+24
16.50	0.6495E+24
17.00	0.6418E+24
17.50	0.6342E+24
18.00	0.6269E+24
18.50	0.6195E+24
19.00	0.6129E+24
19.50	0.6066E+24
20.00	0.6001E+24
20.50	0.5942E+24
21.00	0.5885E+24
21.50	0.5828E+24
22.00	0.5776E+24
22.50	0.5724E+24
23.00	0.5674E+24
23.50	0.5624E+24
24.00	0.5579E+24
24.50	0.5534E+24
25.00	0.5491E+24
25.50	0.5449E+24
26.00	0.5407E+24
26.50	0.5368E+24
27.00	0.5330E+24
27.50	0.5294E+24
28.00	0.5259E+24
28.50	0.5224E+24
29.00	0.5188E+24
29.50	0.5157E+24
30.00	0.5126E+24
30.50	0.5094E+24
31.00	0.5062E+24
31.50	0.5032E+24
32.00	0.5004E+24
32.50	0.4976E+24
33.00	0.4950E+24
33.50	0.4924E+24
34.00	0.4898E+24
34.50	0.4873E+24
35.00	0.4847E+24
35.50	0.4822E+24
36.00	0.4800E+24
36.50	0.4777E+24
37.00	0.4755E+24
37.50	0.4734E+24
38.00	0.4713E+24
38.50	0.4693E+24
39.00	0.4672E+24
39.50	0.4651E+24
40.00	0.4631E+24
40.50	0.4612E+24
41.00	0.4595E+24
41.50	0.4577E+24
42.00	0.4558E+24
42.50	0.4541E+24
43.00	0.4524E+24
43.50	0.4508E+24
44.00	0.4492E+24
44.50	0.4476E+24
45.00	0.4459E+24
45.50	0.4443E+24
46.00	0.4428E+24
46.50	0.4413E+24
47.00	0.4399E+24
47.50	0.4385E+24
48.00	0.4371E+24
48.50	0.4357E+24
49.00	0.4344E+24
49.50	0.4331E+24
50.00	0.4318E+24
50.50	0.4306E+24
51.00	0.4294E+24
51.50	0.4282E+24
52.00	0.4269E+24
52.50	0.4256E+24
53.00	0.4244E+24
53.50	0.4232E+24
54.00	0.4222E+24
54.50	0.4211E+24
55.00	0.4200E+24
55.50	0.4191E+24
56.00	0.4180E+24
56.50	0.4169E+24
57.00	0.4159E+24
57.50	0.4149E+24
58.00	0.4138E+24
58.50	0.4128E+24
59.00	0.4120E+24
59.50	0.4111E+24
60.00	0.4102E+24
60.50	0.4093E+24
61.00	0.4084E+24
61.50	0.4076E+24
62.00	0.4067E+24
62.50	0.4058E+24
63.00	0.4049E+24
63.50	0.4041E+24
64.00	0.4032E+24
64.50	0.4024E+24
65.00	0.4017E+24
65.50	0.4009E+24
66.00	0.4002E+24
66.50	0.3995E+24
67.00	0.3987E+24
67.50	0.3979E+24
68.00	0.3971E+24
68.50	0.3964E+24
69.00	0.3957E+24
69.50	0.3950E+24
70.00	0.3944E+24
70.50	0.3938E+24
71.00	0.3931E+24
71.50	0.3924E+24
72.00	0.3918E+24
72.50	0.3912E+24
73.00	0.3906E+24
73.50	0.3899E+24
74.00	0.3893E+24
74.50	0.3887E+24
75.00	0.3881E+24
75.50	0.3876E+24
76.00	0.3870E+24
76.50	0.3864E+24
77.00	0.3859E+24
77.50	0.3853E+24
78.00	0.3847E+24
78.50	0.3842E+24
79.00	0.3837E+24
79.50	0.3832E+24
80.00	0.3827E+24
80.50	0.3822E+24
81.00	0.3818E+24
81.50	0.3813E+24
82.00	0.3808E+24
82.50	0.3802E+24
83.00	0.3797E+24
83.50	0.3792E+24
84.00	0.3787E+24
84.50	0.3782E+24
85.00	0.3778E+24
85.50	0.3773E+24
86.00	0.3769E+24
86.50	0.3765E+24
87.00	0.3761E+24
87.50	0.3757E+24
88.00	0.3753E+24
88.50	0.3749E+24
89.00	0.3745E+24
89.50	0.3741E+24
90.00	0.3737E+24
90.50	0.3733E+24
91.00	0.3728E+24
91.50	0.3724E+24
92.00	0.3721E+24
92.50	0.3717E+24
93.00	0.3713E+24
93.50	0.3710E+24
94.00	0.3707E+24
94.50	0.3703E+24
95.00	0.3699E+24
95.50	0.3695E+24
96.00	0.3692E+24
96.50	0.3688E+24
97.00	0.3685E+24
97.50	0.3682E+24
98.00	0.3679E+24
98.50	0.3676E+24
99.00	0.3673E+24
99.50	0.3670E+24
100.0	0.3667E+24
