BOLSIG+ version: 12/2017
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\bolsig+\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\bolsig+\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
1.000	1.000
5.006	5.006
9.012	9.012
13.02	13.02
17.02	17.02
21.03	21.03
25.04	25.04
29.04	29.04
33.05	33.05
37.05	37.05
41.06	41.06
45.07	45.07
49.07	49.07
53.08	53.08
57.08	57.08
61.09	61.09
65.10	65.10
69.10	69.10
73.11	73.11
77.11	77.11
81.12	81.12
85.13	85.13
89.13	89.13
93.14	93.14
97.14	97.14
101.2	101.2
105.2	105.2
109.2	109.2
113.2	113.2
117.2	117.2
121.2	121.2
125.2	125.2
129.2	129.2
133.2	133.2
137.2	137.2
141.2	141.2
145.2	145.2
149.2	149.2
153.2	153.2
157.2	157.2
161.2	161.2
165.2	165.2
169.3	169.3
173.3	173.3
177.3	177.3
181.3	181.3
185.3	185.3
189.3	189.3
193.3	193.3
197.3	197.3
201.3	201.3
205.3	205.3
209.3	209.3
213.3	213.3
217.3	217.3
221.3	221.3
225.3	225.3
229.3	229.3
233.3	233.3
237.4	237.4
241.4	241.4
245.4	245.4
249.4	249.4
253.4	253.4
257.4	257.4
261.4	261.4
265.4	265.4
269.4	269.4
273.4	273.4
277.4	277.4
281.4	281.4
285.4	285.4
289.4	289.4
293.4	293.4
297.4	297.4
301.5	301.5
305.5	305.5
309.5	309.5
313.5	313.5
317.5	317.5
321.5	321.5
325.5	325.5
329.5	329.5
333.5	333.5
337.5	337.5
341.5	341.5
345.5	345.5
349.5	349.5
353.5	353.5
357.5	357.5
361.5	361.5
365.5	365.5
369.6	369.6
373.6	373.6
377.6	377.6
381.6	381.6
385.6	385.6
389.6	389.6
393.6	393.6
397.6	397.6
401.6	401.6
405.6	405.6
409.6	409.6
413.6	413.6
417.6	417.6
421.6	421.6
425.6	425.6
429.6	429.6
433.6	433.6
437.7	437.7
441.7	441.7
445.7	445.7
449.7	449.7
453.7	453.7
457.7	457.7
461.7	461.7
465.7	465.7
469.7	469.7
473.7	473.7
477.7	477.7
481.7	481.7
485.7	485.7
489.7	489.7
493.7	493.7
497.7	497.7
501.8	501.8
505.8	505.8
509.8	509.8
513.8	513.8
517.8	517.8
521.8	521.8
525.8	525.8
529.8	529.8
533.8	533.8
537.8	537.8
541.8	541.8
545.8	545.8
549.8	549.8
553.8	553.8
557.8	557.8
561.8	561.8
565.8	565.8
569.9	569.9
573.9	573.9
577.9	577.9
581.9	581.9
585.9	585.9
589.9	589.9
593.9	593.9
597.9	597.9
601.9	601.9
605.9	605.9
609.9	609.9
613.9	613.9
617.9	617.9
621.9	621.9
625.9	625.9
629.9	629.9
633.9	633.9
638.0	638.0
642.0	642.0
646.0	646.0
650.0	650.0
654.0	654.0
658.0	658.0
662.0	662.0
666.0	666.0
670.0	670.0
674.0	674.0
678.0	678.0
682.0	682.0
686.0	686.0
690.0	690.0
694.0	694.0
698.0	698.0
702.1	702.1
706.1	706.1
710.1	710.1
714.1	714.1
718.1	718.1
722.1	722.1
726.1	726.1
730.1	730.1
734.1	734.1
738.1	738.1
742.1	742.1
746.1	746.1
750.1	750.1
754.1	754.1
758.1	758.1
762.1	762.1
766.1	766.1
770.2	770.2
774.2	774.2
778.2	778.2
782.2	782.2
786.2	786.2
790.2	790.2
794.2	794.2
798.2	798.2
802.2	802.2
806.2	806.2
810.2	810.2
814.2	814.2
818.2	818.2
822.2	822.2
826.2	826.2
830.2	830.2
834.3	834.3
838.3	838.3
842.3	842.3
846.3	846.3
850.3	850.3
854.3	854.3
858.3	858.3
862.3	862.3
866.3	866.3
870.3	870.3
874.3	874.3
878.3	878.3
882.3	882.3
886.3	886.3
890.3	890.3
894.3	894.3
898.3	898.3
902.4	902.4
906.4	906.4
910.4	910.4
914.4	914.4
918.4	918.4
922.4	922.4
926.4	926.4
930.4	930.4
934.4	934.4
938.4	938.4
942.4	942.4
946.4	946.4
950.4	950.4
954.4	954.4
958.4	958.4
962.4	962.4
966.4	966.4
970.5	970.5
974.5	974.5
978.5	978.5
982.5	982.5
986.5	986.5
990.5	990.5
994.5	994.5
998.5	998.5
1003.	1003.
1007.	1007.
1011.	1011.
1015.	1015.
1019.	1019.
1023.	1023.
1027.	1027.
1031.	1031.
1035.	1035.
1039.	1039.
1043.	1043.
1047.	1047.
1051.	1051.
1055.	1055.
1059.	1059.
1063.	1063.
1067.	1067.
1071.	1071.
1075.	1075.
1079.	1079.
1083.	1083.
1087.	1087.
1091.	1091.
1095.	1095.
1099.	1099.
1103.	1103.
1107.	1107.
1111.	1111.
1115.	1115.
1119.	1119.
1123.	1123.
1127.	1127.
1131.	1131.
1135.	1135.
1139.	1139.
1143.	1143.
1147.	1147.
1151.	1151.
1155.	1155.
1159.	1159.
1163.	1163.
1167.	1167.
1171.	1171.
1175.	1175.
1179.	1179.
1183.	1183.
1187.	1187.
1191.	1191.
1195.	1195.
1199.	1199.
1203.	1203.
1207.	1207.
1211.	1211.
1215.	1215.
1219.	1219.
1223.	1223.
1227.	1227.
1231.	1231.
1235.	1235.
1239.	1239.
1243.	1243.
1247.	1247.
1251.	1251.
1255.	1255.
1259.	1259.
1263.	1263.
1267.	1267.
1271.	1271.
1275.	1275.
1279.	1279.
1283.	1283.
1287.	1287.
1291.	1291.
1295.	1295.
1299.	1299.
1303.	1303.
1307.	1307.
1311.	1311.
1315.	1315.
1319.	1319.
1323.	1323.
1327.	1327.
1331.	1331.
1335.	1335.
1339.	1339.
1343.	1343.
1347.	1347.
1351.	1351.
1355.	1355.
1359.	1359.
1363.	1363.
1367.	1367.
1371.	1371.
1375.	1375.
1379.	1379.
1383.	1383.
1387.	1387.
1391.	1391.
1395.	1395.
1399.	1399.
1403.	1403.
1407.	1407.
1411.	1411.
1415.	1415.
1419.	1419.
1423.	1423.
1427.	1427.
1431.	1431.
1435.	1435.
1439.	1439.
1443.	1443.
1447.	1447.
1451.	1451.
1455.	1455.
1459.	1459.
1463.	1463.
1467.	1467.
1471.	1471.
1475.	1475.
1479.	1479.
1483.	1483.
1487.	1487.
1491.	1491.
1495.	1495.
1499.	1499.
1503.	1503.
1507.	1507.
1511.	1511.
1515.	1515.
1519.	1519.
1523.	1523.
1527.	1527.
1531.	1531.
1535.	1535.
1539.	1539.
1543.	1543.
1547.	1547.
1551.	1551.
1555.	1555.
1559.	1559.
1563.	1563.
1567.	1567.
1571.	1571.
1575.	1575.
1579.	1579.
1583.	1583.
1587.	1587.
1591.	1591.
1595.	1595.
1599.	1599.
1603.	1603.
1607.	1607.
1611.	1611.
1615.	1615.
1619.	1619.
1623.	1623.
1627.	1627.
1631.	1631.
1635.	1635.
1639.	1639.
1643.	1643.
1647.	1647.
1651.	1651.
1655.	1655.
1659.	1659.
1663.	1663.
1668.	1668.
1672.	1672.
1676.	1676.
1680.	1680.
1684.	1684.
1688.	1688.
1692.	1692.
1696.	1696.
1700.	1700.
1704.	1704.
1708.	1708.
1712.	1712.
1716.	1716.
1720.	1720.
1724.	1724.
1728.	1728.
1732.	1732.
1736.	1736.
1740.	1740.
1744.	1744.
1748.	1748.
1752.	1752.
1756.	1756.
1760.	1760.
1764.	1764.
1768.	1768.
1772.	1772.
1776.	1776.
1780.	1780.
1784.	1784.
1788.	1788.
1792.	1792.
1796.	1796.
1800.	1800.
1804.	1804.
1808.	1808.
1812.	1812.
1816.	1816.
1820.	1820.
1824.	1824.
1828.	1828.
1832.	1832.
1836.	1836.
1840.	1840.
1844.	1844.
1848.	1848.
1852.	1852.
1856.	1856.
1860.	1860.
1864.	1864.
1868.	1868.
1872.	1872.
1876.	1876.
1880.	1880.
1884.	1884.
1888.	1888.
1892.	1892.
1896.	1896.
1900.	1900.
1904.	1904.
1908.	1908.
1912.	1912.
1916.	1916.
1920.	1920.
1924.	1924.
1928.	1928.
1932.	1932.
1936.	1936.
1940.	1940.
1944.	1944.
1948.	1948.
1952.	1952.
1956.	1956.
1960.	1960.
1964.	1964.
1968.	1968.
1972.	1972.
1976.	1976.
1980.	1980.
1984.	1984.
1988.	1988.
1992.	1992.
1996.	1996.
2000.	2000.
 
 
E/N (Td)    	Grid type                                                       
1.000	0.000
5.006	3.000
9.012	3.000
13.02	3.000
17.02	3.000
21.03	3.000
25.04	3.000
29.04	3.000
33.05	3.000
37.05	3.000
41.06	3.000
45.07	3.000
49.07	3.000
53.08	3.000
57.08	3.000
61.09	3.000
65.10	3.000
69.10	3.000
73.11	3.000
77.11	3.000
81.12	3.000
85.13	3.000
89.13	3.000
93.14	3.000
97.14	3.000
101.2	3.000
105.2	3.000
109.2	3.000
113.2	3.000
117.2	3.000
121.2	3.000
125.2	3.000
129.2	3.000
133.2	3.000
137.2	3.000
141.2	3.000
145.2	3.000
149.2	3.000
153.2	3.000
157.2	3.000
161.2	3.000
165.2	3.000
169.3	3.000
173.3	3.000
177.3	3.000
181.3	3.000
185.3	3.000
189.3	3.000
193.3	3.000
197.3	3.000
201.3	3.000
205.3	3.000
209.3	3.000
213.3	3.000
217.3	3.000
221.3	3.000
225.3	3.000
229.3	3.000
233.3	3.000
237.4	3.000
241.4	3.000
245.4	3.000
249.4	3.000
253.4	3.000
257.4	3.000
261.4	3.000
265.4	3.000
269.4	3.000
273.4	3.000
277.4	3.000
281.4	3.000
285.4	3.000
289.4	3.000
293.4	3.000
297.4	3.000
301.5	3.000
305.5	3.000
309.5	3.000
313.5	3.000
317.5	3.000
321.5	3.000
325.5	3.000
329.5	3.000
333.5	3.000
337.5	3.000
341.5	3.000
345.5	3.000
349.5	3.000
