x	y	color
0.0947593	0.0277642	774
0.1265	0.107065	774
0.270109	0.0220955	774
0.296109	0.0900432	774
0.099723	0.171253	774
0.0909182	0.228944	774
0.2536	0.17394	774
0.285247	0.254962	774
0.402643	0.0350003	774
0.400364	0.123197	774
0.572958	0.0531703	774
0.545472	0.131054	774
0.441584	0.210769	774
0.424777	0.26655	774
0.606457	0.195656	774
0.600658	0.252232	774
0.232112	0.314295	774
0.227573	0.385351	774
0.423827	0.314392	774
0.435488	0.402946	774
0.300428	0.459707	774
0.339818	0.528556	774
0.46086	0.490755	774
0.467206	0.625408	774
0.560171	0.365437	774
0.55113	0.473564	774
0.635838	0.34236	774
0.633508	0.477027	774
0.563232	0.635004	774
0.551576	0.753945	774
0.623976	0.628448	774
0.633548	0.807005	773
0.707834	0.0387655	774
0.715548	0.143538	774
0.795546	0.0587337	774
0.796899	0.136654	774
0.714792	0.253015	774
0.704872	0.387576	774
0.806709	0.25213	774
0.803989	0.419341	774
0.891025	0.0497427	774
0.874569	0.183057	774
0.9559	0.109612	774
0.946822	0.207344	774
0.866781	0.303102	774
0.882835	0.399356	774
0.962878	0.285432	774
0.962895	0.381544	773
0.698617	0.516974	774
0.694	0.672881	774
0.783902	0.521339	774
0.769638	0.678493	774
0.702617	0.799878	774
0.732551	0.924365	774
0.789566	0.840067	774
0.794356	0.945456	774
0.860009	0.546618	774
0.853836	0.68553	774
0.950705	0.553689	774
0.946108	0.687524	774
0.877222	0.768316	774
0.869022	0.927674	774
0.963839	0.796666	774
0.96838	0.929179	773
