BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
0.5000	0.5000
10.55	10.55
20.60	20.60
30.64	30.64
40.69	40.69
50.74	50.74
60.79	60.79
70.83	70.83
80.88	80.88
90.93	90.93
101.0	101.0
111.0	111.0
121.1	121.1
131.1	131.1
141.2	141.2
151.2	151.2
161.3	161.3
171.3	171.3
181.4	181.4
191.4	191.4
201.5	201.5
211.5	211.5
221.6	221.6
231.6	231.6
241.6	241.6
251.7	251.7
261.7	261.7
271.8	271.8
281.8	281.8
291.9	291.9
301.9	301.9
312.0	312.0
322.0	322.0
332.1	332.1
342.1	342.1
352.2	352.2
362.2	362.2
372.3	372.3
382.3	382.3
392.4	392.4
402.4	402.4
412.5	412.5
422.5	422.5
432.6	432.6
442.6	442.6
452.6	452.6
462.7	462.7
472.7	472.7
482.8	482.8
492.8	492.8
502.9	502.9
512.9	512.9
523.0	523.0
533.0	533.0
543.1	543.1
553.1	553.1
563.2	563.2
573.2	573.2
583.3	583.3
593.3	593.3
603.4	603.4
613.4	613.4
623.5	623.5
633.5	633.5
643.6	643.6
653.6	653.6
663.7	663.7
673.7	673.7
683.7	683.7
693.8	693.8
703.8	703.8
713.9	713.9
723.9	723.9
734.0	734.0
744.0	744.0
754.1	754.1
764.1	764.1
774.2	774.2
784.2	784.2
794.3	794.3
804.3	804.3
814.4	814.4
824.4	824.4
834.5	834.5
844.5	844.5
854.6	854.6
864.6	864.6
874.7	874.7
884.7	884.7
894.7	894.7
904.8	904.8
914.8	914.8
924.9	924.9
934.9	934.9
945.0	945.0
955.0	955.0
965.1	965.1
975.1	975.1
985.2	985.2
995.2	995.2
1005.	1005.
1015.	1015.
1025.	1025.
1035.	1035.
1045.	1045.
1056.	1056.
1066.	1066.
1076.	1076.
1086.	1086.
1096.	1096.
1106.	1106.
1116.	1116.
1126.	1126.
1136.	1136.
1146.	1146.
1156.	1156.
1166.	1166.
1176.	1176.
1186.	1186.
1196.	1196.
1206.	1206.
1216.	1216.
