BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  0.000    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.5000	2.885
0.6185	3.757
0.7369	4.964
0.8554	7.009
0.9739	12.03
1.092	31.23
1.211	47.88
1.329	56.00
1.448	61.92
1.566	67.06
1.685	71.25
1.803	75.27
1.922	79.02
2.040	82.64
2.159	86.42
2.277	89.89
2.396	93.25
2.514	96.71
2.633	100.2
2.751	103.7
2.869	107.3
2.988	110.7
3.106	114.3
3.225	117.9
3.343	121.9
3.462	125.8
3.580	129.8
3.699	133.7
3.817	137.9
3.936	142.2
4.054	146.8
4.173	151.4
4.291	156.4
4.410	161.3
4.528	166.3
4.647	170.8
4.765	176.0
4.884	181.4
5.002	187.5
5.121	193.5
5.239	199.7
5.357	205.9
5.476	212.0
5.594	218.1
5.713	224.4
5.831	230.5
5.950	237.3
6.068	244.4
6.187	251.7
6.305	259.0
6.424	266.7
6.542	273.9
6.661	281.1
6.779	288.4
6.898	295.8
7.016	303.3
7.134	311.1
7.253	319.0
7.371	327.0
7.490	334.8
7.608	342.7
7.727	350.7
7.845	358.7
7.964	367.2
8.082	375.2
8.201	383.3
8.319	391.5
8.438	399.7
8.556	408.0
8.675	416.3
8.793	424.5
8.912	432.7
9.030	441.2
9.149	449.6
9.267	458.1
9.386	466.7
9.504	475.4
9.622	483.9
9.741	492.4
9.859	501.0
9.978	509.6
10.10	517.9
10.21	526.4
10.33	535.0
10.45	543.7
10.57	552.2
10.69	560.8
10.81	569.4
10.93	578.1
11.04	586.9
11.16	595.6
11.28	604.5
11.40	613.3
11.52	622.0
11.64	630.8
11.76	639.6
11.87	648.4
11.99	657.1
12.11	665.8
12.23	674.6
12.35	683.4
12.47	692.2
12.58	701.1
12.70	709.8
12.82	718.6
12.94	727.4
13.06	736.2
13.18	745.0
13.30	753.9
13.41	762.8
13.53	771.7
13.65	780.6
13.77	789.5
13.89	798.4
14.01	807.3
14.12	816.2
14.24	825.0
14.36	833.9
14.48	842.8
14.60	851.6
14.72	860.6
14.84	869.6
14.95	878.5
15.07	887.4
15.19	896.2
15.31	905.0
15.43	914.0
15.55	922.9
15.66	931.7
15.78	940.6
15.90	949.5
16.02	958.5
16.14	967.4
16.26	976.3
16.38	985.2
16.49	994.1
16.61	1003.
16.73	1012.
16.85	1021.
16.97	1030.
17.09	1038.
17.20	1047.
17.32	1056.
17.44	1065.
17.56	1074.
17.68	1083.
17.80	1092.
17.92	1101.
18.03	1110.
18.15	1119.
18.27	1128.
18.39	1137.
18.51	1145.
18.63	1154.
18.74	1163.
18.86	1172.
18.98	1181.
19.10	1190.
19.22	1198.
19.34	1207.
19.46	1216.
19.57	1225.
19.69	1234.
19.81	1243.
19.93	1252.
20.05	1261.
20.17	1270.
20.29	1278.
20.40	1287.
20.52	1296.
20.64	1305.
20.76	1314.
20.88	1322.
21.00	1331.
21.11	1340.
21.23	1349.
21.35	1358.
21.47	1367.
21.59	1375.
21.71	1384.
21.83	1393.
21.94	1402.
22.06	1411.
22.18	1419.
22.30	1428.
