BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
1.000	1.000
7.010	7.010
13.02	13.02
19.03	19.03
25.04	25.04
31.05	31.05
37.06	37.06
43.07	43.07
49.08	49.08
55.09	55.09
61.10	61.10
67.11	67.11
73.12	73.12
79.13	79.13
85.14	85.14
91.15	91.15
97.16	97.16
103.2	103.2
109.2	109.2
115.2	115.2
121.2	121.2
127.2	127.2
133.2	133.2
139.2	139.2
145.2	145.2
151.3	151.3
157.3	157.3
163.3	163.3
169.3	169.3
175.3	175.3
181.3	181.3
187.3	187.3
193.3	193.3
199.3	199.3
205.3	205.3
211.4	211.4
217.4	217.4
223.4	223.4
229.4	229.4
235.4	235.4
241.4	241.4
247.4	247.4
253.4	253.4
259.4	259.4
265.4	265.4
271.5	271.5
277.5	277.5
283.5	283.5
289.5	289.5
295.5	295.5
301.5	301.5
307.5	307.5
313.5	313.5
319.5	319.5
325.5	325.5
331.6	331.6
337.6	337.6
343.6	343.6
349.6	349.6
355.6	355.6
361.6	361.6
367.6	367.6
373.6	373.6
379.6	379.6
385.6	385.6
391.7	391.7
397.7	397.7
403.7	403.7
409.7	409.7
415.7	415.7
421.7	421.7
427.7	427.7
433.7	433.7
439.7	439.7
445.7	445.7
451.8	451.8
457.8	457.8
463.8	463.8
469.8	469.8
475.8	475.8
481.8	481.8
487.8	487.8
493.8	493.8
499.8	499.8
505.8	505.8
511.9	511.9
517.9	517.9
523.9	523.9
529.9	529.9
535.9	535.9
541.9	541.9
547.9	547.9
553.9	553.9
559.9	559.9
565.9	565.9
572.0	572.0
578.0	578.0
584.0	584.0
590.0	590.0
596.0	596.0
602.0	602.0
608.0	608.0
614.0	614.0
620.0	620.0
626.0	626.0
632.1	632.1
638.1	638.1
644.1	644.1
650.1	650.1
656.1	656.1
662.1	662.1
668.1	668.1
674.1	674.1
680.1	680.1
686.1	686.1
692.2	692.2
698.2	698.2
704.2	704.2
710.2	710.2
716.2	716.2
722.2	722.2
728.2	728.2
734.2	734.2
740.2	740.2
746.2	746.2
752.3	752.3
758.3	758.3
764.3	764.3
770.3	770.3
776.3	776.3
782.3	782.3
788.3	788.3
794.3	794.3
800.3	800.3
806.3	806.3
812.4	812.4
818.4	818.4
824.4	824.4
830.4	830.4
836.4	836.4
842.4	842.4
848.4	848.4
854.4	854.4
860.4	860.4
866.4	866.4
872.5	872.5
878.5	878.5
884.5	884.5
890.5	890.5
896.5	896.5
902.5	902.5
908.5	908.5
914.5	914.5
920.5	920.5
926.5	926.5
932.6	932.6
938.6	938.6
944.6	944.6
950.6	950.6
956.6	956.6
962.6	962.6
968.6	968.6
974.6	974.6
980.6	980.6
986.6	986.6
992.7	992.7
998.7	998.7
1005.	1005.
1011.	1011.
1017.	1017.
1023.	1023.
1029.	1029.
1035.	1035.
1041.	1041.
1047.	1047.
1053.	1053.
1059.	1059.
1065.	1065.
1071.	1071.
1077.	1077.
1083.	1083.
1089.	1089.
1095.	1095.
1101.	1101.
1107.	1107.
1113.	1113.
1119.	1119.
1125.	1125.
1131.	1131.
1137.	1137.
1143.	1143.
1149.	1149.
1155.	1155.
1161.	1161.
1167.	1167.
1173.	1173.
1179.	1179.
1185.	1185.
1191.	1191.
1197.	1197.
1203.	1203.
1209.	1209.
1215.	1215.
1221.	1221.
1227.	1227.
1233.	1233.
1239.	1239.
1245.	1245.
1251.	1251.
1257.	1257.
1263.	1263.
1269.	1269.
1275.	1275.
1281.	1281.
1287.	1287.
1293.	1293.
1299.	1299.
1305.	1305.
1311.	1311.
1317.	1317.
1323.	1323.
1329.	1329.
1335.	1335.
1341.	1341.
1347.	1347.
1353.	1353.
1359.	1359.
1365.	1365.
1371.	1371.
1377.	1377.
1383.	1383.
