# E/N (Td)	Mobility *N (1/m/V/s)
1.000	0.6109E+25
5.006	0.2790E+25
9.012	0.2109E+25
13.02	0.1856E+25
17.02	0.1720E+25
21.03	0.1633E+25
25.04	0.1570E+25
29.04	0.1522E+25
33.05	0.1490E+25
37.05	0.1455E+25
41.06	0.1416E+25
45.07	0.1388E+25
49.07	0.1363E+25
53.08	0.1342E+25
57.08	0.1320E+25
61.09	0.1301E+25
65.10	0.1290E+25
69.10	0.1272E+25
73.11	0.1256E+25
77.11	0.1241E+25
81.12	0.1223E+25
85.13	0.1210E+25
89.13	0.1199E+25
93.14	0.1187E+25
97.14	0.1177E+25
101.2	0.1165E+25
105.2	0.1156E+25
109.2	0.1147E+25
113.2	0.1139E+25
117.2	0.1131E+25
121.2	0.1126E+25
125.2	0.1118E+25
129.2	0.1111E+25
133.2	0.1104E+25
137.2	0.1098E+25
141.2	0.1091E+25
145.2	0.1085E+25
149.2	0.1078E+25
153.2	0.1072E+25
157.2	0.1066E+25
161.2	0.1061E+25
165.2	0.1056E+25
169.3	0.1051E+25
173.3	0.1046E+25
177.3	0.1041E+25
181.3	0.1038E+25
185.3	0.1034E+25
189.3	0.1029E+25
193.3	0.1024E+25
197.3	0.1020E+25
201.3	0.1016E+25
205.3	0.1011E+25
209.3	0.1007E+25
213.3	0.1003E+25
217.3	0.9990E+24
221.3	0.9958E+24
225.3	0.9918E+24
229.3	0.9880E+24
233.3	0.9842E+24
237.4	0.9804E+24
241.4	0.9767E+24
245.4	0.9731E+24
249.4	0.9695E+24
253.4	0.9660E+24
257.4	0.9625E+24
261.4	0.9564E+24
265.4	0.9531E+24
269.4	0.9499E+24
273.4	0.9467E+24
277.4	0.9436E+24
281.4	0.9404E+24
285.4	0.9374E+24
289.4	0.9343E+24
293.4	0.9313E+24
297.4	0.9284E+24
301.5	0.9254E+24
305.5	0.9225E+24
309.5	0.9207E+24
313.5	0.9178E+24
317.5	0.9150E+24
321.5	0.9122E+24
325.5	0.9094E+24
329.5	0.9067E+24
333.5	0.9040E+24
337.5	0.9013E+24
341.5	0.8987E+24
345.5	0.8961E+24
349.5	0.8935E+24
353.5	0.8909E+24
357.5	0.8884E+24
361.5	0.8859E+24
365.5	0.8835E+24
369.6	0.8810E+24
373.6	0.8786E+24
377.6	0.8762E+24
381.6	0.8738E+24
385.6	0.8714E+24
389.6	0.8691E+24
393.6	0.8668E+24
397.6	0.8645E+24
401.6	0.8622E+24
405.6	0.8600E+24
409.6	0.8578E+24
413.6	0.8556E+24
417.6	0.8534E+24
421.6	0.8512E+24
425.6	0.8497E+24
429.6	0.8475E+24
433.6	0.8454E+24
437.7	0.8433E+24
441.7	0.8412E+24
445.7	0.8392E+24
449.7	0.8371E+24
453.7	0.8351E+24
457.7	0.8331E+24
461.7	0.8311E+24
465.7	0.8291E+24
469.7	0.8272E+24
473.7	0.8252E+24
477.7	0.8233E+24
481.7	0.8214E+24
485.7	0.8195E+24
489.7	0.8176E+24
493.7	0.8156E+24
497.7	0.8138E+24
501.8	0.8120E+24
505.8	0.8102E+24
509.8	0.8084E+24
513.8	0.8066E+24
517.8	0.8048E+24
521.8	0.8030E+24
525.8	0.8013E+24
529.8	0.7996E+24
533.8	0.7979E+24
537.8	0.7961E+24
541.8	0.7945E+24
545.8	0.7928E+24
549.8	0.7911E+24
553.8	0.7895E+24
557.8	0.7878E+24
561.8	0.7862E+24
565.8	0.7846E+24
569.9	0.7827E+24
573.9	0.7811E+24
577.9	0.7795E+24
581.9	0.7780E+24
585.9	0.7764E+24
589.9	0.7749E+24
593.9	0.7733E+24
597.9	0.7718E+24
601.9	0.7703E+24
605.9	0.7688E+24
609.9	0.7673E+24
613.9	0.7658E+24
617.9	0.7644E+24
621.9	0.7629E+24
625.9	0.7614E+24
629.9	0.7600E+24
633.9	0.7586E+24
638.0	0.7572E+24
642.0	0.7557E+24
646.0	0.7543E+24
650.0	0.7531E+24
654.0	0.7517E+24
658.0	0.7503E+24
662.0	0.7489E+24
666.0	0.7476E+24
670.0	0.7462E+24
674.0	0.7449E+24
678.0	0.7436E+24
682.0	0.7422E+24
686.0	0.7409E+24
690.0	0.7396E+24
694.0	0.7383E+24
698.0	0.7370E+24
702.1	0.7357E+24
706.1	0.7345E+24
710.1	0.7332E+24
714.1	0.7319E+24
718.1	0.7307E+24
722.1	0.7294E+24
726.1	0.7282E+24
730.1	0.7270E+24
734.1	0.7258E+24
738.1	0.7246E+24
742.1	0.7234E+24
746.1	0.7222E+24
750.1	0.7210E+24
754.1	0.7198E+24
758.1	0.7186E+24
762.1	0.7175E+24
766.1	0.7163E+24
770.2	0.7151E+24
774.2	0.7140E+24
778.2	0.7128E+24
782.2	0.7117E+24
786.2	0.7106E+24
790.2	0.7095E+24
794.2	0.7083E+24
798.2	0.7072E+24
802.2	0.7061E+24
806.2	0.7050E+24
810.2	0.7039E+24
814.2	0.7028E+24
818.2	0.7018E+24
822.2	0.7007E+24
826.2	0.6996E+24
830.2	0.6986E+24
834.3	0.6975E+24
838.3	0.6964E+24
842.3	0.6954E+24
846.3	0.6943E+24
850.3	0.6933E+24
854.3	0.6923E+24
858.3	0.6913E+24
862.3	0.6902E+24
866.3	0.6892E+24
870.3	0.6882E+24
874.3	0.6872E+24
878.3	0.6862E+24
882.3	0.6852E+24
886.3	0.6842E+24
890.3	0.6833E+24
894.3	0.6823E+24
898.3	0.6813E+24
902.4	0.6804E+24
906.4	0.6794E+24
910.4	0.6784E+24
914.4	0.6775E+24
918.4	0.6765E+24
922.4	0.6756E+24
926.4	0.6747E+24
930.4	0.6737E+24
934.4	0.6728E+24
938.4	0.6719E+24
942.4	0.6710E+24
946.4	0.6701E+24
950.4	0.6692E+24
954.4	0.6683E+24
958.4	0.6674E+24
962.4	0.6665E+24
966.4	0.6656E+24
970.5	0.6647E+24
974.5	0.6639E+24
978.5	0.6630E+24
982.5	0.6621E+24
986.5	0.6612E+24
990.5	0.6604E+24
994.5	0.6595E+24
998.5	0.6587E+24
1003.	0.6578E+24
1007.	0.6570E+24
1011.	0.6561E+24
1015.	0.6553E+24
1019.	0.6544E+24
1023.	0.6536E+24
1027.	0.6528E+24
1031.	0.6519E+24
1035.	0.6511E+24
1039.	0.6503E+24
1043.	0.6495E+24
1047.	0.6487E+24
1051.	0.6479E+24
1055.	0.6471E+24
1059.	0.6463E+24
1063.	0.6455E+24
1067.	0.6447E+24
1071.	0.6440E+24
1075.	0.6432E+24
1079.	0.6424E+24
1083.	0.6416E+24
1087.	0.6408E+24
1091.	0.6401E+24
1095.	0.6393E+24
1099.	0.6385E+24
1103.	0.6378E+24
1107.	0.6370E+24
1111.	0.6363E+24
1115.	0.6355E+24
1119.	0.6348E+24
1123.	0.6340E+24
1127.	0.6333E+24
1131.	0.6325E+24
1135.	0.6318E+24
1139.	0.6311E+24
1143.	0.6304E+24
1147.	0.6296E+24
1151.	0.6289E+24
1155.	0.6282E+24
1159.	0.6275E+24
1163.	0.6268E+24
1167.	0.6261E+24
1171.	0.6253E+24
1175.	0.6246E+24
1179.	0.6241E+24
1183.	0.6234E+24
1187.	0.6227E+24
1191.	0.6220E+24
1195.	0.6213E+24
1199.	0.6206E+24
1203.	0.6199E+24
1207.	0.6193E+24
1211.	0.6186E+24
1215.	0.6179E+24
1219.	0.6172E+24
1223.	0.6166E+24
1227.	0.6159E+24
1231.	0.6152E+24
1235.	0.6146E+24
1239.	0.6139E+24
1243.	0.6133E+24
1247.	0.6126E+24
1251.	0.6119E+24
1255.	0.6113E+24
1259.	0.6107E+24
1263.	0.6100E+24
1267.	0.6094E+24
1271.	0.6087E+24
1275.	0.6081E+24
1279.	0.6075E+24
1283.	0.6068E+24
1287.	0.6062E+24
1291.	0.6056E+24
1295.	0.6049E+24
1299.	0.6043E+24
1303.	0.6037E+24
1307.	0.6031E+24
1311.	0.6025E+24
1315.	0.6019E+24
1319.	0.6013E+24
1323.	0.6007E+24
1327.	0.6001E+24
1331.	0.5995E+24
1335.	0.5989E+24
1339.	0.5983E+24
1343.	0.5977E+24
1347.	0.5971E+24
1351.	0.5965E+24
1355.	0.5959E+24
1359.	0.5953E+24
1363.	0.5948E+24
1367.	0.5942E+24
1371.	0.5936E+24
1375.	0.5930E+24
1379.	0.5924E+24
1383.	0.5919E+24
1387.	0.5913E+24
1391.	0.5907E+24
1395.	0.5902E+24
1399.	0.5896E+24
1403.	0.5890E+24
1407.	0.5885E+24
1411.	0.5879E+24
1415.	0.5873E+24
1419.	0.5868E+24
1423.	0.5862E+24
1427.	0.5857E+24
1431.	0.5851E+24
1435.	0.5846E+24
1439.	0.5840E+24
1443.	0.5835E+24
1447.	0.5830E+24
1451.	0.5824E+24
1455.	0.5819E+24
1459.	0.5813E+24
1463.	0.5807E+24
1467.	0.5802E+24
1471.	0.5797E+24
1475.	0.5792E+24
1479.	0.5786E+24
1483.	0.5781E+24
1487.	0.5776E+24
1491.	0.5771E+24
1495.	0.5765E+24
1499.	0.5760E+24
1503.	0.5755E+24
1507.	0.5750E+24
1511.	0.5745E+24
1515.	0.5740E+24
1519.	0.5735E+24
1523.	0.5730E+24
1527.	0.5725E+24
1531.	0.5720E+24
1535.	0.5715E+24
1539.	0.5710E+24
1543.	0.5705E+24
1547.	0.5700E+24
1551.	0.5695E+24
1555.	0.5690E+24
1559.	0.5685E+24
1563.	0.5680E+24
1567.	0.5675E+24
1571.	0.5670E+24
1575.	0.5665E+24
1579.	0.5661E+24
1583.	0.5656E+24
1587.	0.5651E+24
1591.	0.5646E+24
1595.	0.5641E+24
1599.	0.5637E+24
1603.	0.5632E+24
1607.	0.5627E+24
1611.	0.5622E+24
1615.	0.5618E+24
1619.	0.5614E+24
