Energy (eV)	Total collision freq. /N (m3/s)
0.5000	0.3456E-13
1.000	0.5959E-13
1.500	0.8508E-13
2.000	0.9737E-13
2.500	0.1073E-12
3.000	0.1160E-12
3.500	0.1237E-12
4.000	0.1305E-12
4.500	0.1368E-12
5.000	0.1424E-12
5.500	0.1476E-12
6.000	0.1524E-12
6.500	0.1568E-12
7.000	0.1610E-12
7.500	0.1651E-12
8.000	0.1689E-12
8.500	0.1727E-12
9.000	0.1763E-12
9.500	0.1797E-12
10.00	0.1831E-12
10.50	0.1864E-12
11.00	0.1895E-12
11.50	0.1926E-12
12.00	0.1955E-12
12.50	0.1984E-12
13.00	0.2012E-12
13.50	0.2040E-12
14.00	0.2066E-12
14.50	0.2092E-12
15.00	0.2117E-12
15.50	0.2141E-12
16.00	0.2165E-12
16.50	0.2188E-12
17.00	0.2210E-12
17.50	0.2232E-12
18.00	0.2253E-12
18.50	0.2274E-12
19.00	0.2295E-12
19.50	0.2314E-12
20.00	0.2334E-12
20.50	0.2352E-12
21.00	0.2371E-12
21.50	0.2389E-12
22.00	0.2406E-12
22.50	0.2423E-12
23.00	0.2440E-12
23.50	0.2456E-12
24.00	0.2473E-12
24.50	0.2488E-12
25.00	0.2504E-12
25.50	0.2519E-12
26.00	0.2533E-12
26.50	0.2548E-12
27.00	0.2562E-12
27.50	0.2576E-12
28.00	0.2589E-12
28.50	0.2603E-12
29.00	0.2616E-12
29.50	0.2628E-12
30.00	0.2641E-12
30.50	0.2653E-12
31.00	0.2665E-12
31.50	0.2677E-12
32.00	0.2689E-12
32.50	0.2700E-12
33.00	0.2711E-12
33.50	0.2722E-12
34.00	0.2733E-12
34.50	0.2744E-12
35.00	0.2754E-12
35.50	0.2764E-12
36.00	0.2775E-12
36.50	0.2784E-12
37.00	0.2794E-12
37.50	0.2804E-12
38.00	0.2813E-12
38.50	0.2823E-12
39.00	0.2832E-12
39.50	0.2841E-12
40.00	0.2850E-12
40.50	0.2858E-12
41.00	0.2867E-12
41.50	0.2875E-12
42.00	0.2884E-12
42.50	0.2892E-12
43.00	0.2900E-12
43.50	0.2908E-12
44.00	0.2916E-12
44.50	0.2924E-12
45.00	0.2931E-12
45.50	0.2939E-12
46.00	0.2946E-12
46.50	0.2953E-12
47.00	0.2961E-12
47.50	0.2968E-12
48.00	0.2975E-12
48.50	0.2982E-12
49.00	0.2988E-12
49.50	0.2995E-12
50.00	0.3002E-12
50.50	0.3008E-12
51.00	0.3015E-12
51.50	0.3021E-12
52.00	0.3027E-12
52.50	0.3034E-12
53.00	0.3040E-12
53.50	0.3046E-12
54.00	0.3052E-12
54.50	0.3057E-12
55.00	0.3063E-12
55.50	0.3069E-12
56.00	0.3075E-12
56.50	0.3080E-12
57.00	0.3086E-12
57.50	0.3091E-12
58.00	0.3097E-12
58.50	0.3102E-12
59.00	0.3107E-12
59.50	0.3113E-12
60.00	0.3118E-12
60.50	0.3123E-12
61.00	0.3128E-12
61.50	0.3133E-12
62.00	0.3138E-12
62.50	0.3142E-12
63.00	0.3147E-12
63.50	0.3152E-12
64.00	0.3156E-12
64.50	0.3161E-12
65.00	0.3166E-12
65.50	0.3170E-12
66.00	0.3175E-12
66.50	0.3179E-12
67.00	0.3183E-12
67.50	0.3188E-12
68.00	0.3192E-12
68.50	0.3196E-12
69.00	0.3200E-12
69.50	0.3204E-12
70.00	0.3208E-12
70.50	0.3212E-12
71.00	0.3216E-12
71.50	0.3220E-12
72.00	0.3224E-12
72.50	0.3228E-12
73.00	0.3232E-12
73.50	0.3236E-12
74.00	0.3240E-12
74.50	0.3243E-12
75.00	0.3247E-12
75.50	0.3250E-12
76.00	0.3254E-12
76.50	0.3258E-12
77.00	0.3261E-12
77.50	0.3265E-12
78.00	0.3268E-12
78.50	0.3271E-12
79.00	0.3275E-12
79.50	0.3278E-12
80.00	0.3281E-12
80.50	0.3285E-12
81.00	0.3288E-12
81.50	0.3291E-12
82.00	0.3294E-12
82.50	0.3297E-12
83.00	0.3300E-12
83.50	0.3303E-12
84.00	0.3306E-12
84.50	0.3309E-12
85.00	0.3312E-12
85.50	0.3315E-12
86.00	0.3318E-12
86.50	0.3321E-12
87.00	0.3324E-12
87.50	0.3327E-12
88.00	0.3330E-12
88.50	0.3332E-12
89.00	0.3335E-12
89.50	0.3338E-12
90.00	0.3340E-12
90.50	0.3343E-12
91.00	0.3346E-12
91.50	0.3348E-12
92.00	0.3351E-12
92.50	0.3354E-12
93.00	0.3356E-12
93.50	0.3359E-12
94.00	0.3361E-12
94.50	0.3363E-12
95.00	0.3366E-12
95.50	0.3368E-12
96.00	0.3371E-12
96.50	0.3373E-12
97.00	0.3375E-12
97.50	0.3378E-12
98.00	0.3380E-12
98.50	0.3382E-12
99.00	0.3385E-12
99.50	0.3387E-12
100.0	0.3389E-12
