BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.7900    
Mole fraction O2                          0.2100    
 
 
E/N (Td)    	Electric field / N (Td)                                         
10.00	10.00
15.99	15.99
21.98	21.98
27.98	27.98
33.97	33.97
39.96	39.96
45.95	45.95
51.94	51.94
57.94	57.94
63.93	63.93
69.92	69.92
75.91	75.91
81.90	81.90
87.90	87.90
93.89	93.89
99.88	99.88
105.9	105.9
111.9	111.9
117.9	117.9
123.8	123.8
129.8	129.8
135.8	135.8
141.8	141.8
147.8	147.8
153.8	153.8
159.8	159.8
165.8	165.8
171.8	171.8
177.8	177.8
183.8	183.8
189.8	189.8
195.8	195.8
201.7	201.7
207.7	207.7
213.7	213.7
219.7	219.7
225.7	225.7
231.7	231.7
237.7	237.7
243.7	243.7
249.7	249.7
255.7	255.7
261.7	261.7
267.7	267.7
273.6	273.6
279.6	279.6
285.6	285.6
291.6	291.6
297.6	297.6
303.6	303.6
309.6	309.6
315.6	315.6
321.6	321.6
327.6	327.6
333.6	333.6
339.6	339.6
345.6	345.6
351.5	351.5
357.5	357.5
363.5	363.5
369.5	369.5
375.5	375.5
381.5	381.5
387.5	387.5
393.5	393.5
399.5	399.5
405.5	405.5
411.5	411.5
417.5	417.5
423.4	423.4
429.4	429.4
435.4	435.4
441.4	441.4
447.4	447.4
453.4	453.4
459.4	459.4
465.4	465.4
471.4	471.4
477.4	477.4
483.4	483.4
489.4	489.4
495.4	495.4
501.3	501.3
507.3	507.3
513.3	513.3
519.3	519.3
525.3	525.3
531.3	531.3
537.3	537.3
543.3	543.3
549.3	549.3
555.3	555.3
561.3	561.3
567.3	567.3
573.2	573.2
579.2	579.2
585.2	585.2
591.2	591.2
597.2	597.2
603.2	603.2
609.2	609.2
615.2	615.2
621.2	621.2
627.2	627.2
633.2	633.2
639.2	639.2
645.2	645.2
651.1	651.1
657.1	657.1
663.1	663.1
669.1	669.1
675.1	675.1
681.1	681.1
687.1	687.1
693.1	693.1
699.1	699.1
705.1	705.1
711.1	711.1
717.1	717.1
723.0	723.0
729.0	729.0
735.0	735.0
741.0	741.0
747.0	747.0
753.0	753.0
759.0	759.0
765.0	765.0
771.0	771.0
777.0	777.0
783.0	783.0
789.0	789.0
794.9	794.9
800.9	800.9
806.9	806.9
812.9	812.9
818.9	818.9
824.9	824.9
830.9	830.9
836.9	836.9
842.9	842.9
848.9	848.9
854.9	854.9
860.9	860.9
866.9	866.9
872.8	872.8
878.8	878.8
884.8	884.8
890.8	890.8
896.8	896.8
902.8	902.8
908.8	908.8
914.8	914.8
920.8	920.8
926.8	926.8
932.8	932.8
938.8	938.8
944.7	944.7
950.7	950.7
956.7	956.7
962.7	962.7
968.7	968.7
974.7	974.7
980.7	980.7
986.7	986.7
992.7	992.7
998.7	998.7
1005.	1005.
1011.	1011.
1017.	1017.
1023.	1023.
1029.	1029.
1035.	1035.
1041.	1041.
1047.	1047.
1053.	1053.
1059.	1059.
1065.	1065.
1071.	1071.
1077.	1077.
1083.	1083.
1089.	1089.
1095.	1095.
1101.	1101.
1107.	1107.
1113.	1113.
1119.	1119.
1125.	1125.
1131.	1131.
1136.	1136.
1142.	1142.
1148.	1148.
1154.	1154.
1160.	1160.
1166.	1166.
1172.	1172.
1178.	1178.
1184.	1184.
1190.	1190.
1196.	1196.
1202.	1202.
1208.	1208.
1214.	1214.
1220.	1220.
1226.	1226.
1232.	1232.
1238.	1238.
1244.	1244.
1250.	1250.
1256.	1256.
1262.	1262.
1268.	1268.
1274.	1274.
1280.	1280.
1286.	1286.
1292.	1292.
1298.	1298.
1304.	1304.
1310.	1310.
1316.	1316.
1322.	1322.
1328.	1328.
1334.	1334.
1340.	1340.
1346.	1346.
1352.	1352.
1358.	1358.
1364.	1364.
1370.	1370.
1376.	1376.
1382.	1382.
1388.	1388.
1394.	1394.
1400.	1400.
1406.	1406.
1412.	1412.
1418.	1418.
1424.	1424.
1430.	1430.
1436.	1436.
1442.	1442.
1448.	1448.
1454.	1454.
1460.	1460.
1466.	1466.
1472.	1472.
1478.	1478.
1484.	1484.
1490.	1490.
1496.	1496.
1502.	1502.
1508.	1508.
1514.	1514.
1520.	1520.
1526.	1526.
1532.	1532.
1538.	1538.
1544.	1544.
1550.	1550.
1556.	1556.
1562.	1562.
1568.	1568.
1574.	1574.
1580.	1580.
1586.	1586.
1592.	1592.
1598.	1598.
1604.	1604.
1610.	1610.
1616.	1616.
1622.	1622.
1628.	1628.
1634.	1634.
1640.	1640.
1646.	1646.
1652.	1652.
1658.	1658.
1664.	1664.
1670.	1670.
1676.	1676.
1682.	1682.
1688.	1688.
1694.	1694.
1700.	1700.
1706.	1706.
1712.	1712.
1718.	1718.
1724.	1724.
1730.	1730.
1736.	1736.
1742.	1742.
1748.	1748.
1754.	1754.
1760.	1760.
1766.	1766.
1772.	1772.
1778.	1778.
1784.	1784.
1790.	1790.
1796.	1796.
1802.	1802.
1808.	1808.
1814.	1814.
1820.	1820.
1826.	1826.
1832.	1832.
1838.	1838.
1844.	1844.
1850.	1850.
1856.	1856.
1862.	1862.
1868.	1868.
1874.	1874.
1879.	1879.
1885.	1885.
1891.	1891.
1897.	1897.
1903.	1903.
1909.	1909.
1915.	1915.
1921.	1921.
1927.	1927.
1933.	1933.
1939.	1939.
1945.	1945.
1951.	1951.
1957.	1957.
1963.	1963.
1969.	1969.
1975.	1975.
1981.	1981.
1987.	1987.
1993.	1993.
1999.	1999.
2005.	2005.
2011.	2011.
2017.	2017.
2023.	2023.
2029.	2029.
2035.	2035.
2041.	2041.
2047.	2047.
2053.	2053.
2059.	2059.
2065.	2065.
2071.	2071.
2077.	2077.
2083.	2083.
2089.	2089.
2095.	2095.
2101.	2101.
2107.	2107.
2113.	2113.
2119.	2119.
2125.	2125.
2131.	2131.
2137.	2137.
2143.	2143.
2149.	2149.
2155.	2155.
2161.	2161.
2167.	2167.
2173.	2173.
2179.	2179.
2185.	2185.
2191.	2191.
2197.	2197.
2203.	2203.
2209.	2209.
2215.	2215.
2221.	2221.
2227.	2227.
2233.	2233.
2239.	2239.
2245.	2245.
2251.	2251.
2257.	2257.
2263.	2263.
2269.	2269.
2275.	2275.
2281.	2281.
2287.	2287.
2293.	2293.
2299.	2299.
2305.	2305.
2311.	2311.
2317.	2317.
2323.	2323.
2329.	2329.
2335.	2335.
2341.	2341.
2347.	2347.
2353.	2353.
2359.	2359.
2365.	2365.
2371.	2371.
2377.	2377.
2383.	2383.
2389.	2389.
2395.	2395.
2401.	2401.
2407.	2407.
2413.	2413.
2419.	2419.
2425.	2425.
2431.	2431.
2437.	2437.
2443.	2443.
2449.	2449.
2455.	2455.
2461.	2461.
2467.	2467.
2473.	2473.
2479.	2479.
2485.	2485.
2491.	2491.
2497.	2497.
2503.	2503.
2509.	2509.
2515.	2515.
2521.	2521.
2527.	2527.
2533.	2533.
2539.	2539.
2545.	2545.
2551.	2551.
2557.	2557.
2563.	2563.
2569.	2569.
2575.	2575.
2581.	2581.
2587.	2587.
2593.	2593.
2599.	2599.
2605.	2605.
2611.	2611.
2617.	2617.
2623.	2623.
2628.	2628.
2634.	2634.
2640.	2640.
2646.	2646.
2652.	2652.
2658.	2658.
2664.	2664.
2670.	2670.
2676.	2676.
2682.	2682.
2688.	2688.
2694.	2694.
2700.	2700.
2706.	2706.
2712.	2712.
2718.	2718.
2724.	2724.
2730.	2730.
2736.	2736.
2742.	2742.
2748.	2748.
2754.	2754.
2760.	2760.
2766.	2766.
2772.	2772.
2778.	2778.
2784.	2784.
2790.	2790.
2796.	2796.
2802.	2802.
2808.	2808.
2814.	2814.
2820.	2820.
2826.	2826.
2832.	2832.
2838.	2838.
2844.	2844.
2850.	2850.
2856.	2856.
2862.	2862.
2868.	2868.
2874.	2874.
2880.	2880.
2886.	2886.
2892.	2892.
2898.	2898.
2904.	2904.
2910.	2910.
2916.	2916.
2922.	2922.
2928.	2928.
2934.	2934.
2940.	2940.
2946.	2946.
2952.	2952.
2958.	2958.
2964.	2964.
2970.	2970.
2976.	2976.
2982.	2982.
2988.	2988.
2994.	2994.
3000.	3000.
 
 
