BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
0.1000	0.1000
6.112	6.112
12.12	12.12
18.14	18.14
24.15	24.15
30.16	30.16
36.17	36.17
42.18	42.18
48.19	48.19
54.21	54.21
60.22	60.22
66.23	66.23
72.24	72.24
78.25	78.25
84.27	84.27
90.28	90.28
96.29	96.29
102.3	102.3
108.3	108.3
114.3	114.3
120.3	120.3
126.3	126.3
132.4	132.4
138.4	138.4
144.4	144.4
150.4	150.4
156.4	156.4
162.4	162.4
168.4	168.4
174.4	174.4
180.5	180.5
186.5	186.5
192.5	192.5
198.5	198.5
204.5	204.5
210.5	210.5
216.5	216.5
222.5	222.5
228.5	228.5
234.6	234.6
240.6	240.6
246.6	246.6
252.6	252.6
258.6	258.6
264.6	264.6
270.6	270.6
276.6	276.6
282.7	282.7
288.7	288.7
294.7	294.7
300.7	300.7
306.7	306.7
312.7	312.7
318.7	318.7
324.7	324.7
330.8	330.8
336.8	336.8
342.8	342.8
348.8	348.8
354.8	354.8
360.8	360.8
366.8	366.8
372.8	372.8
378.8	378.8
384.9	384.9
390.9	390.9
396.9	396.9
402.9	402.9
408.9	408.9
414.9	414.9
420.9	420.9
426.9	426.9
433.0	433.0
439.0	439.0
445.0	445.0
451.0	451.0
457.0	457.0
463.0	463.0
469.0	469.0
475.0	475.0
481.0	481.0
487.1	487.1
493.1	493.1
499.1	499.1
505.1	505.1
511.1	511.1
517.1	517.1
523.1	523.1
529.1	529.1
535.2	535.2
541.2	541.2
547.2	547.2
553.2	553.2
559.2	559.2
565.2	565.2
571.2	571.2
577.2	577.2
583.2	583.2
589.3	589.3
595.3	595.3
601.3	601.3
607.3	607.3
613.3	613.3
619.3	619.3
625.3	625.3
631.3	631.3
637.4	637.4
643.4	643.4
649.4	649.4
655.4	655.4
661.4	661.4
667.4	667.4
673.4	673.4
679.4	679.4
685.4	685.4
691.5	691.5
697.5	697.5
703.5	703.5
709.5	709.5
715.5	715.5
721.5	721.5
727.5	727.5
733.5	733.5
739.6	739.6
745.6	745.6
751.6	751.6
757.6	757.6
763.6	763.6
769.6	769.6
775.6	775.6
781.6	781.6
787.6	787.6
793.7	793.7
799.7	799.7
805.7	805.7
811.7	811.7
817.7	817.7
823.7	823.7
829.7	829.7
835.7	835.7
841.8	841.8
847.8	847.8
853.8	853.8
859.8	859.8
865.8	865.8
871.8	871.8
877.8	877.8
883.8	883.8
889.8	889.8
895.9	895.9
901.9	901.9
907.9	907.9
913.9	913.9
919.9	919.9
925.9	925.9
931.9	931.9
937.9	937.9
944.0	944.0
950.0	950.0
956.0	956.0
962.0	962.0
968.0	968.0
974.0	974.0
980.0	980.0
986.0	986.0
992.1	992.1
998.1	998.1
1004.	1004.
1010.	1010.
1016.	1016.
1022.	1022.
1028.	1028.
1034.	1034.
1040.	1040.
1046.	1046.
1052.	1052.
1058.	1058.
1064.	1064.
1070.	1070.
1076.	1076.
1082.	1082.
1088.	1088.
1094.	1094.
1100.	1100.
1106.	1106.
1112.	1112.
1118.	1118.
1124.	1124.
1130.	1130.
1136.	1136.
1142.	1142.
1148.	1148.
1154.	1154.
1160.	1160.
1166.	1166.
1172.	1172.
1178.	1178.
1184.	1184.
1190.	1190.
1196.	1196.
1202.	1202.
1208.	1208.
1214.	1214.
1221.	1221.
1227.	1227.
1233.	1233.
1239.	1239.
1245.	1245.
1251.	1251.
1257.	1257.
1263.	1263.
1269.	1269.
1275.	1275.
1281.	1281.
1287.	1287.
1293.	1293.
1299.	1299.
1305.	1305.
1311.	1311.
1317.	1317.
1323.	1323.
1329.	1329.
1335.	1335.
1341.	1341.
1347.	1347.
1353.	1353.
1359.	1359.
1365.	1365.
1371.	1371.
1377.	1377.
1383.	1383.
1389.	1389.
1395.	1395.
1401.	1401.
1407.	1407.
1413.	1413.
1419.	1419.
1425.	1425.
1431.	1431.
1437.	1437.
1443.	1443.
1449.	1449.
1455.	1455.
1461.	1461.
1467.	1467.
1473.	1473.
1479.	1479.
1485.	1485.
1491.	1491.
1497.	1497.
1503.	1503.
1509.	1509.
1515.	1515.
1521.	1521.
1527.	1527.
1533.	1533.
1539.	1539.
1545.	1545.
1551.	1551.
1557.	1557.
1563.	1563.
1569.	1569.
1575.	1575.
1581.	1581.
1587.	1587.
1593.	1593.
1599.	1599.
1605.	1605.
1611.	1611.
1617.	1617.
1623.	1623.
1629.	1629.
1635.	1635.
1641.	1641.
1647.	1647.
1653.	1653.
1659.	1659.
1665.	1665.
1671.	1671.
1677.	1677.
1683.	1683.
1689.	1689.
1695.	1695.
1701.	1701.
1707.	1707.
1713.	1713.
1719.	1719.
1725.	1725.
1732.	1732.
1738.	1738.
1744.	1744.
1750.	1750.
1756.	1756.
1762.	1762.
1768.	1768.
1774.	1774.
1780.	1780.
1786.	1786.
1792.	1792.
1798.	1798.
1804.	1804.
1810.	1810.
1816.	1816.
1822.	1822.
1828.	1828.
1834.	1834.
1840.	1840.
1846.	1846.
1852.	1852.
1858.	1858.
1864.	1864.
1870.	1870.
1876.	1876.
1882.	1882.
1888.	1888.
1894.	1894.
1900.	1900.
1906.	1906.
1912.	1912.
1918.	1918.
1924.	1924.
1930.	1930.
1936.	1936.
1942.	1942.
1948.	1948.
1954.	1954.
1960.	1960.
1966.	1966.
1972.	1972.
1978.	1978.
1984.	1984.
1990.	1990.
1996.	1996.
2002.	2002.
2008.	2008.
2014.	2014.
2020.	2020.
2026.	2026.
2032.	2032.
2038.	2038.
2044.	2044.
2050.	2050.
2056.	2056.
2062.	2062.
2068.	2068.
2074.	2074.
2080.	2080.
2086.	2086.
2092.	2092.
2098.	2098.
2104.	2104.
2110.	2110.
2116.	2116.
2122.	2122.
2128.	2128.
2134.	2134.
2140.	2140.
2146.	2146.
2152.	2152.
2158.	2158.
2164.	2164.
2170.	2170.
2176.	2176.
2182.	2182.
2188.	2188.
2194.	2194.
2200.	2200.
2206.	2206.
2212.	2212.
2218.	2218.
2224.	2224.
2230.	2230.
2236.	2236.
2243.	2243.
2249.	2249.
2255.	2255.
2261.	2261.
2267.	2267.
2273.	2273.
2279.	2279.
2285.	2285.
2291.	2291.
2297.	2297.
2303.	2303.
2309.	2309.
2315.	2315.
2321.	2321.
2327.	2327.
2333.	2333.
2339.	2339.
2345.	2345.
2351.	2351.
2357.	2357.
2363.	2363.
2369.	2369.
2375.	2375.
2381.	2381.
2387.	2387.
2393.	2393.
2399.	2399.
2405.	2405.
2411.	2411.
2417.	2417.
2423.	2423.
2429.	2429.
2435.	2435.
2441.	2441.
2447.	2447.
2453.	2453.
2459.	2459.
2465.	2465.
2471.	2471.
2477.	2477.
2483.	2483.
2489.	2489.
2495.	2495.
2501.	2501.
2507.	2507.
2513.	2513.
2519.	2519.
2525.	2525.
2531.	2531.
2537.	2537.
2543.	2543.
2549.	2549.
2555.	2555.
2561.	2561.
2567.	2567.
2573.	2573.
2579.	2579.
2585.	2585.
2591.	2591.
2597.	2597.
2603.	2603.
2609.	2609.
2615.	2615.
2621.	2621.
2627.	2627.
2633.	2633.
2639.	2639.
2645.	2645.
2651.	2651.
2657.	2657.
2663.	2663.
2669.	2669.
2675.	2675.
2681.	2681.
2687.	2687.
2693.	2693.
2699.	2699.
2705.	2705.
2711.	2711.
2717.	2717.
2723.	2723.
2729.	2729.
2735.	2735.
2741.	2741.
2748.	2748.
2754.	2754.
2760.	2760.
2766.	2766.
2772.	2772.
2778.	2778.
2784.	2784.
2790.	2790.
2796.	2796.
2802.	2802.
2808.	2808.
2814.	2814.
2820.	2820.
2826.	2826.
2832.	2832.
2838.	2838.
2844.	2844.
2850.	2850.
2856.	2856.
2862.	2862.
2868.	2868.
2874.	2874.
2880.	2880.
2886.	2886.
2892.	2892.
2898.	2898.
2904.	2904.
2910.	2910.
2916.	2916.
2922.	2922.
2928.	2928.
2934.	2934.
2940.	2940.
2946.	2946.
2952.	2952.
2958.	2958.
2964.	2964.
2970.	2970.
2976.	2976.
2982.	2982.
2988.	2988.
2994.	2994.
3000.	3000.
 
 
E/N (Td)    	Grid type                                                       
0.1000	0.000
6.112	3.000
12.12	3.000
18.14	3.000
24.15	3.000
30.16	3.000
36.17	3.000
42.18	3.000
48.19	3.000
54.21	3.000
60.22	3.000
66.23	3.000
72.24	3.000
78.25	3.000
84.27	3.000
90.28	3.000
96.29	3.000
102.3	3.000
108.3	3.000
114.3	3.000
120.3	3.000
126.3	3.000
132.4	3.000
138.4	3.000
144.4	3.000
150.4	3.000
156.4	3.000
162.4	3.000
168.4	3.000
174.4	3.000
180.5	3.000
186.5	3.000
192.5	3.000
198.5	3.000
204.5	3.000
