BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
# of grid points                           100.0    
Grid type                                  0.000    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.7900    
Mole fraction O2                          0.2100    
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.1000E-01	NaN
0.7010E-01	0.8626E-01
0.1302	0.3581
0.1903	0.7500
0.2504	1.229
0.3105	2.057
0.3706	3.572
0.4307	5.835
0.4908	8.728
0.5509	12.10
0.6110	15.79
0.6711	19.70
0.7312	23.70
0.7913	27.74
0.8514	31.73
0.9115	35.64
0.9716	39.42
1.032	43.07
1.092	46.56
1.152	49.89
1.212	53.04
1.272	55.99
1.332	58.77
1.392	61.40
1.452	63.84
1.513	66.17
1.573	68.32
1.633	70.33
1.693	72.29
1.753	74.04
1.813	75.82
1.873	77.41
1.933	78.98
1.993	80.53
2.053	81.92
2.114	83.40
2.174	84.80
2.234	86.18
2.294	87.56
2.354	88.99
2.414	90.36
2.474	91.77
2.534	93.27
2.594	94.75
2.654	96.22
2.715	97.82
2.775	99.45
2.835	101.1
2.895	102.8
2.955	104.6
3.015	106.4
3.075	108.3
3.135	110.2
3.195	112.2
3.255	114.3
3.316	116.5
3.376	118.6
3.436	120.8
3.496	123.2
3.556	125.6
3.616	128.0
3.676	130.4
3.736	132.9
3.796	135.6
3.856	138.3
3.917	141.0
3.977	143.8
4.037	146.5
4.097	149.2
4.157	152.1
4.217	155.1
4.277	158.1
4.337	161.2
4.397	164.2
4.457	167.3
4.518	170.3
4.578	173.4
4.638	176.6
4.698	179.8
4.758	183.2
4.818	186.6
4.878	189.9
4.938	193.2
4.998	196.5
5.058	199.8
5.119	203.2
5.179	206.6
5.239	210.1
5.299	213.7
5.359	217.3
5.419	220.9
5.479	224.5
5.539	228.0
5.599	231.5
5.659	235.0
5.720	238.6
5.780	242.3
5.840	245.9
5.900	249.7
5.960	253.5
6.020	257.2
6.080	261.0
6.140	264.7
6.200	268.4
6.260	272.1
6.321	275.9
6.381	279.7
6.441	283.5
6.501	287.3
6.561	291.1
6.621	295.0
6.681	298.9
6.741	302.8
6.801	306.7
6.861	310.6
6.922	314.4
6.982	318.2
7.042	322.1
7.102	326.1
7.162	330.0
7.222	334.0
7.282	338.1
7.342	342.1
7.402	346.0
7.462	350.0
7.523	353.9
7.583	357.9
7.643	361.8
7.703	365.8
7.763	369.8
7.823	373.9
7.883	377.9
7.943	382.0
8.003	386.0
8.063	390.0
8.124	394.0
8.184	398.1
8.244	402.2
8.304	406.3
8.364	410.5
8.424	414.6
8.484	418.7
8.544	422.8
8.604	426.9
8.664	431.0
8.725	435.1
8.785	439.2
8.845	443.4
8.905	447.5
8.965	451.6
9.025	455.7
9.085	459.8
9.145	463.9
9.205	468.0
9.265	472.1
9.326	476.3
9.386	480.5
9.446	484.6
9.506	488.9
9.566	493.0
9.626	497.2
9.686	501.4
9.746	505.6
9.806	509.8
9.866	514.0
9.927	518.3
9.987	522.6
10.05	526.9
10.11	531.1
10.17	535.4
10.23	539.7
10.29	543.9
10.35	548.2
10.41	552.3
10.47	556.5
10.53	560.6
10.59	564.8
10.65	569.0
10.71	573.2
10.77	577.4
10.83	581.6
10.89	585.9
10.95	590.1
11.01	594.4
11.07	598.7
