# E/N (Td)	Mean energy (eV)
1.000	0.2346
5.006	0.7403
9.012	0.9178
13.02	0.9856
17.02	1.021
21.03	1.046
25.04	1.064
29.04	1.081
33.05	1.098
37.05	1.119
41.06	1.145
45.07	1.179
49.07	1.223
53.08	1.279
57.08	1.347
61.09	1.427
65.10	1.523
69.10	1.627
73.11	1.740
77.11	1.862
81.12	1.988
85.13	2.120
89.13	2.255
93.14	2.392
97.14	2.529
101.2	2.663
105.2	2.798
109.2	2.932
113.2	3.064
117.2	3.193
121.2	3.319
125.2	3.442
129.2	3.562
133.2	3.678
137.2	3.792
141.2	3.902
145.2	4.010
149.2	4.112
153.2	4.214
157.2	4.314
161.2	4.411
165.2	4.506
169.3	4.598
173.3	4.689
177.3	4.777
181.3	4.872
185.3	4.956
189.3	5.040
193.3	5.121
197.3	5.201
201.3	5.280
205.3	5.358
209.3	5.434
213.3	5.510
217.3	5.584
221.3	5.663
225.3	5.735
229.3	5.807
233.3	5.877
237.4	5.947
241.4	6.016
245.4	6.084
249.4	6.152
253.4	6.219
257.4	6.286
261.4	6.336
265.4	6.402
269.4	6.467
273.4	6.532
277.4	6.596
281.4	6.660
285.4	6.724
289.4	6.787
293.4	6.850
297.4	6.913
301.5	6.975
305.5	7.037
309.5	7.103
313.5	7.164
317.5	7.225
321.5	7.286
325.5	7.346
329.5	7.407
333.5	7.467
337.5	7.527
341.5	7.586
345.5	7.646
349.5	7.705
353.5	7.764
357.5	7.823
361.5	7.882
365.5	7.940
369.6	7.999
373.6	8.057
377.6	8.115
381.6	8.173
385.6	8.231
389.6	8.289
393.6	8.346
397.6	8.404
401.6	8.461
405.6	8.519
409.6	8.576
413.6	8.633
417.6	8.690
421.6	8.747
425.6	8.807
429.6	8.863
433.6	8.920
437.7	8.977
441.7	9.033
445.7	9.090
449.7	9.146
453.7	9.202
457.7	9.258
461.7	9.314
465.7	9.370
469.7	9.426
473.7	9.482
477.7	9.538
481.7	9.594
485.7	9.650
489.7	9.705
493.7	9.759
497.7	9.815
501.8	9.870
505.8	9.926
509.8	9.981
513.8	10.04
517.8	10.09
521.8	10.15
525.8	10.20
529.8	10.26
533.8	10.31
537.8	10.37
541.8	10.42
545.8	10.48
549.8	10.53
553.8	10.59
557.8	10.64
561.8	10.70
565.8	10.75
569.9	10.80
573.9	10.86
577.9	10.91
581.9	10.97
585.9	11.02
589.9	11.07
593.9	11.13
597.9	11.18
601.9	11.24
605.9	11.29
609.9	11.35
613.9	11.40
617.9	11.46
621.9	11.51
625.9	11.56
629.9	11.62
633.9	11.67
638.0	11.73
642.0	11.78
646.0	11.84
650.0	11.89
654.0	11.95
658.0	12.00
662.0	12.05
666.0	12.11
670.0	12.16
674.0	12.22
678.0	12.27
682.0	12.32
686.0	12.38
690.0	12.43
694.0	12.48
698.0	12.54
702.1	12.59
706.1	12.65
710.1	12.70
714.1	12.75
718.1	12.81
722.1	12.86
726.1	12.92
730.1	12.97
734.1	13.02
738.1	13.07
742.1	13.13
746.1	13.18
750.1	13.24
754.1	13.29
758.1	13.34
762.1	13.40
766.1	13.45
770.2	13.50
774.2	13.56
778.2	13.61
782.2	13.66
786.2	13.72
790.2	13.77
794.2	13.83
798.2	13.88
802.2	13.93
806.2	13.99
810.2	14.04
814.2	14.09
818.2	14.15
822.2	14.20
826.2	14.25
830.2	14.31
834.3	14.36
838.3	14.41
842.3	14.47
846.3	14.52
850.3	14.57
854.3	14.63
858.3	14.68
862.3	14.73
866.3	14.79
870.3	14.84
874.3	14.89
878.3	14.95
882.3	15.00
886.3	15.05
890.3	15.11
894.3	15.16
898.3	15.21
902.4	15.27
906.4	15.32
910.4	15.37
914.4	15.43
918.4	15.48
922.4	15.53
926.4	15.59
930.4	15.64
934.4	15.69
938.4	15.75
942.4	15.80
946.4	15.85
950.4	15.90
954.4	15.96
958.4	16.01
962.4	16.06
966.4	16.12
970.5	16.17
974.5	16.22
978.5	16.28
982.5	16.33
986.5	16.38
990.5	16.44
994.5	16.49
998.5	16.54
1003.	16.60
1007.	16.65
1011.	16.70
1015.	16.76
1019.	16.81
1023.	16.86
1027.	16.92
1031.	16.97
1035.	17.02
1039.	17.08
1043.	17.13
1047.	17.18
1051.	17.24
1055.	17.29
1059.	17.34
1063.	17.39
1067.	17.45
1071.	17.50
1075.	17.55
1079.	17.61
1083.	17.66
1087.	17.71
1091.	17.77
1095.	17.82
1099.	17.87
1103.	17.93
1107.	17.98
1111.	18.03
1115.	18.09
1119.	18.14
1123.	18.19
1127.	18.25
1131.	18.30
1135.	18.35
1139.	18.41
1143.	18.46
1147.	18.51
1151.	18.57
1155.	18.62
1159.	18.67
1163.	18.73
1167.	18.78
1171.	18.83
1175.	18.89
1179.	18.94
1183.	18.99
1187.	19.05
1191.	19.10
1195.	19.15
1199.	19.21
1203.	19.26
1207.	19.31
1211.	19.37
1215.	19.42
1219.	19.47
1223.	19.53
1227.	19.58
1231.	19.64
1235.	19.69
1239.	19.74
1243.	19.80
1247.	19.85
1251.	19.90
1255.	19.96
1259.	20.01
1263.	20.06
1267.	20.12
1271.	20.17
1275.	20.22
1279.	20.28
1283.	20.33
1287.	20.39
1291.	20.44
1295.	20.49
1299.	20.55
1303.	20.60
1307.	20.65
1311.	20.71
1315.	20.76
1319.	20.81
1323.	20.87
1327.	20.92
1331.	20.97
1335.	21.03
1339.	21.08
1343.	21.13
1347.	21.19
1351.	21.24
1355.	21.30
1359.	21.35
1363.	21.40
1367.	21.46
1371.	21.51
1375.	21.57
1379.	21.62
1383.	21.67
1387.	21.73
1391.	21.78
1395.	21.83
1399.	21.89
1403.	21.94
1407.	22.00
1411.	22.05
1415.	22.10
1419.	22.16
1423.	22.21
1427.	22.27
1431.	22.32
1435.	22.37
1439.	22.43
1443.	22.48
1447.	22.54
1451.	22.59
1455.	22.64
1459.	22.69
1463.	22.75
1467.	22.80
1471.	22.86
1475.	22.91
1479.	22.96
1483.	23.02
1487.	23.07
1491.	23.13
1495.	23.18
1499.	23.23
1503.	23.29
1507.	23.34
1511.	23.40
1515.	23.45
1519.	23.51
1523.	23.56
1527.	23.61
1531.	23.67
1535.	23.72
1539.	23.78
1543.	23.83
1547.	23.89
1551.	23.94
1555.	24.00
1559.	24.05
1563.	24.10
1567.	24.16
1571.	24.21
1575.	24.27
1579.	24.32
1583.	24.38
1587.	24.43
1591.	24.49
1595.	24.54
1599.	24.59
1603.	24.65
1607.	24.70
1611.	24.76
1615.	24.81
1619.	24.87
1623.	24.92
1627.	24.98
1631.	25.03
1635.	25.08
1639.	25.14
1643.	25.19
1647.	25.25
1651.	25.30
1655.	25.36
1659.	25.41
1663.	25.47
1668.	25.52
1672.	25.58
1676.	25.63
1680.	25.69
