Energy (eV)	Diffusion coefficient *N (1/m/s)
0.5000	0.1548E+25
1.000	0.1883E+25
1.500	0.1992E+25
2.000	0.2235E+25
2.500	0.2494E+25
3.000	0.2757E+25
3.500	0.3025E+25
4.000	0.3286E+25
4.500	0.3540E+25
5.000	0.3793E+25
5.500	0.4024E+25
6.000	0.4257E+25
6.500	0.4462E+25
7.000	0.4672E+25
7.500	0.4861E+25
8.000	0.5048E+25
8.500	0.5225E+25
9.000	0.5399E+25
9.500	0.5562E+25
10.00	0.5719E+25
10.50	0.5878E+25
11.00	0.6032E+25
11.50	0.6174E+25
12.00	0.6317E+25
12.50	0.6460E+25
13.00	0.6597E+25
13.50	0.6732E+25
14.00	0.6864E+25
14.50	0.6994E+25
15.00	0.7121E+25
15.50	0.7250E+25
16.00	0.7376E+25
16.50	0.7499E+25
17.00	0.7628E+25
17.50	0.7750E+25
18.00	0.7871E+25
18.50	0.7985E+25
19.00	0.8105E+25
19.50	0.8224E+25
20.00	0.8335E+25
20.50	0.8451E+25
21.00	0.8566E+25
21.50	0.8677E+25
22.00	0.8791E+25
22.50	0.8901E+25
23.00	0.9010E+25
23.50	0.9118E+25
24.00	0.9231E+25
24.50	0.9341E+25
25.00	0.9449E+25
25.50	0.9557E+25
26.00	0.9663E+25
26.50	0.9771E+25
27.00	0.9880E+25
27.50	0.9986E+25
28.00	0.1009E+26
28.50	0.1020E+26
29.00	0.1030E+26
29.50	0.1041E+26
30.00	0.1051E+26
30.50	0.1062E+26
31.00	0.1072E+26
31.50	0.1082E+26
32.00	0.1092E+26
32.50	0.1103E+26
33.00	0.1113E+26
33.50	0.1124E+26
34.00	0.1134E+26
34.50	0.1144E+26
35.00	0.1154E+26
35.50	0.1164E+26
36.00	0.1174E+26
36.50	0.1185E+26
37.00	0.1195E+26
37.50	0.1205E+26
38.00	0.1215E+26
38.50	0.1225E+26
39.00	0.1235E+26
39.50	0.1245E+26
40.00	0.1255E+26
40.50	0.1265E+26
41.00	0.1276E+26
41.50	0.1286E+26
42.00	0.1296E+26
42.50	0.1306E+26
43.00	0.1316E+26
43.50	0.1326E+26
44.00	0.1336E+26
44.50	0.1346E+26
45.00	0.1356E+26
45.50	0.1365E+26
46.00	0.1375E+26
46.50	0.1385E+26
47.00	0.1395E+26
47.50	0.1405E+26
48.00	0.1415E+26
48.50	0.1425E+26
49.00	0.1435E+26
49.50	0.1445E+26
50.00	0.1456E+26
50.50	0.1466E+26
51.00	0.1476E+26
51.50	0.1486E+26
52.00	0.1495E+26
52.50	0.1505E+26
53.00	0.1515E+26
53.50	0.1524E+26
54.00	0.1534E+26
54.50	0.1544E+26
55.00	0.1555E+26
55.50	0.1565E+26
56.00	0.1575E+26
56.50	0.1585E+26
57.00	0.1595E+26
57.50	0.1605E+26
58.00	0.1613E+26
58.50	0.1623E+26
59.00	0.1634E+26
59.50	0.1644E+26
60.00	0.1654E+26
60.50	0.1665E+26
61.00	0.1675E+26
61.50	0.1685E+26
62.00	0.1695E+26
62.50	0.1704E+26
63.00	0.1714E+26
63.50	0.1724E+26
64.00	0.1734E+26
64.50	0.1743E+26
65.00	0.1753E+26
65.50	0.1763E+26
66.00	0.1773E+26
66.50	0.1783E+26
67.00	0.1793E+26
67.50	0.1803E+26
68.00	0.1813E+26
68.50	0.1823E+26
69.00	0.1832E+26
69.50	0.1843E+26
70.00	0.1853E+26
70.50	0.1863E+26
71.00	0.1873E+26
71.50	0.1883E+26
72.00	0.1893E+26
72.50	0.1903E+26
73.00	0.1913E+26
73.50	0.1923E+26
74.00	0.1933E+26
74.50	0.1943E+26
75.00	0.1953E+26
75.50	0.1964E+26
76.00	0.1974E+26
76.50	0.1984E+26
77.00	0.1994E+26
77.50	0.2004E+26
78.00	0.2014E+26
78.50	0.2024E+26
79.00	0.2034E+26
79.50	0.2044E+26
80.00	0.2055E+26
80.50	0.2065E+26
81.00	0.2075E+26
81.50	0.2085E+26
82.00	0.2095E+26
82.50	0.2105E+26
83.00	0.2115E+26
83.50	0.2125E+26
84.00	0.2135E+26
84.50	0.2145E+26
85.00	0.2155E+26
85.50	0.2165E+26
86.00	0.2176E+26
86.50	0.2186E+26
87.00	0.2196E+26
87.50	0.2207E+26
88.00	0.2217E+26
88.50	0.2227E+26
89.00	0.2238E+26
89.50	0.2248E+26
90.00	0.2258E+26
90.50	0.2268E+26
91.00	0.2279E+26
91.50	0.2289E+26
92.00	0.2299E+26
92.50	0.2309E+26
93.00	0.2320E+26
93.50	0.2330E+26
94.00	0.2341E+26
94.50	0.2351E+26
95.00	0.2361E+26
95.50	0.2371E+26
96.00	0.2382E+26
96.50	0.2392E+26
97.00	0.2402E+26
97.50	0.2413E+26
98.00	0.2424E+26
98.50	0.2434E+26
99.00	0.2445E+26
99.50	0.2455E+26
100.0	0.2466E+26
