Energy (eV)	Townsend attach. coef. eta/N (m2)
0.5000	0.2392E-40
1.000	0.1493E-29
1.500	0.1002E-22
2.000	0.2078E-22
2.500	0.2901E-22
3.000	0.3505E-22
3.500	0.3897E-22
4.000	0.4124E-22
4.500	0.4178E-22
5.000	0.4119E-22
5.500	0.3944E-22
6.000	0.3737E-22
6.500	0.3483E-22
7.000	0.3242E-22
7.500	0.3006E-22
8.000	0.2789E-22
8.500	0.2593E-22
9.000	0.2418E-22
9.500	0.2257E-22
10.00	0.2114E-22
10.50	0.1988E-22
11.00	0.1874E-22
11.50	0.1771E-22
12.00	0.1678E-22
12.50	0.1594E-22
13.00	0.1518E-22
13.50	0.1450E-22
14.00	0.1387E-22
14.50	0.1330E-22
15.00	0.1277E-22
15.50	0.1229E-22
16.00	0.1185E-22
16.50	0.1145E-22
17.00	0.1107E-22
17.50	0.1072E-22
18.00	0.1040E-22
18.50	0.1010E-22
19.00	0.9819E-23
19.50	0.9560E-23
20.00	0.9320E-23
20.50	0.9091E-23
21.00	0.8880E-23
21.50	0.8682E-23
22.00	0.8494E-23
22.50	0.8317E-23
23.00	0.8152E-23
23.50	0.7998E-23
24.00	0.7850E-23
24.50	0.7710E-23
25.00	0.7578E-23
25.50	0.7453E-23
26.00	0.7336E-23
26.50	0.7224E-23
27.00	0.7116E-23
27.50	0.7014E-23
28.00	0.6916E-23
28.50	0.6825E-23
29.00	0.6738E-23
29.50	0.6652E-23
30.00	0.6571E-23
30.50	0.6495E-23
31.00	0.6423E-23
31.50	0.6354E-23
32.00	0.6287E-23
32.50	0.6222E-23
33.00	0.6158E-23
33.50	0.6098E-23
34.00	0.6041E-23
34.50	0.5987E-23
35.00	0.5935E-23
35.50	0.5885E-23
36.00	0.5835E-23
36.50	0.5788E-23
37.00	0.5741E-23
37.50	0.5697E-23
38.00	0.5654E-23
38.50	0.5613E-23
39.00	0.5574E-23
39.50	0.5536E-23
40.00	0.5500E-23
40.50	0.5464E-23
41.00	0.5429E-23
41.50	0.5395E-23
42.00	0.5362E-23
42.50	0.5330E-23
43.00	0.5299E-23
43.50	0.5269E-23
44.00	0.5239E-23
44.50	0.5212E-23
45.00	0.5185E-23
45.50	0.5159E-23
46.00	0.5134E-23
46.50	0.5109E-23
47.00	0.5084E-23
47.50	0.5060E-23
48.00	0.5037E-23
48.50	0.5015E-23
49.00	0.4993E-23
49.50	0.4971E-23
50.00	0.4950E-23
50.50	0.4929E-23
51.00	0.4909E-23
51.50	0.4890E-23
52.00	0.4872E-23
52.50	0.4854E-23
53.00	0.4837E-23
53.50	0.4819E-23
54.00	0.4802E-23
54.50	0.4785E-23
55.00	0.4768E-23
55.50	0.4752E-23
56.00	0.4736E-23
56.50	0.4721E-23
57.00	0.4706E-23
57.50	0.4691E-23
58.00	0.4678E-23
58.50	0.4664E-23
59.00	0.4649E-23
59.50	0.4635E-23
60.00	0.4622E-23
60.50	0.4609E-23
61.00	0.4596E-23
61.50	0.4583E-23
62.00	0.4571E-23
62.50	0.4560E-23
63.00	0.4548E-23
63.50	0.4537E-23
64.00	0.4526E-23
64.50	0.4514E-23
65.00	0.4503E-23
65.50	0.4492E-23
66.00	0.4481E-23
66.50	0.4471E-23
67.00	0.4460E-23
67.50	0.4451E-23
68.00	0.4441E-23
68.50	0.4432E-23
69.00	0.4423E-23
69.50	0.4413E-23
70.00	0.4404E-23
70.50	0.4395E-23
71.00	0.4386E-23
71.50	0.4377E-23
72.00	0.4368E-23
72.50	0.4360E-23
73.00	0.4351E-23
73.50	0.4343E-23
74.00	0.4335E-23
74.50	0.4327E-23
75.00	0.4319E-23
75.50	0.4311E-23
76.00	0.4303E-23
76.50	0.4296E-23
77.00	0.4289E-23
77.50	0.4281E-23
78.00	0.4274E-23
78.50	0.4267E-23
79.00	0.4260E-23
79.50	0.4253E-23
80.00	0.4246E-23
80.50	0.4239E-23
81.00	0.4232E-23
81.50	0.4225E-23
82.00	0.4219E-23
82.50	0.4213E-23
83.00	0.4207E-23
83.50	0.4201E-23
84.00	0.4195E-23
84.50	0.4190E-23
85.00	0.4183E-23
85.50	0.4178E-23
86.00	0.4172E-23
86.50	0.4166E-23
87.00	0.4160E-23
87.50	0.4154E-23
88.00	0.4148E-23
88.50	0.4143E-23
89.00	0.4137E-23
89.50	0.4131E-23
90.00	0.4126E-23
90.50	0.4121E-23
91.00	0.4116E-23
91.50	0.4111E-23
92.00	0.4106E-23
92.50	0.4101E-23
93.00	0.4096E-23
93.50	0.4091E-23
94.00	0.4086E-23
94.50	0.4081E-23
95.00	0.4077E-23
95.50	0.4072E-23
96.00	0.4068E-23
96.50	0.4063E-23
97.00	0.4058E-23
97.50	0.4054E-23
98.00	0.4049E-23
98.50	0.4044E-23
99.00	0.4040E-23
99.50	0.4035E-23
100.0	0.4031E-23
